"comm_name","sci_name","n","nword","taxa_type"
"Acanthurus","Acanthurus",2,1,"general"
"Achirus","Achirus",1,1,"general"
"Acute halfbeak","Hyporhamphus acutus pacificus",1,3,"species"
"African pompano","Alectis ciliaris",10,2,"species"
"Agujon needlefish","Tylosurus pacificus",1,2,"species"
"Ahliesaurus brevis","Ahliesaurus brevis",12,2,"species"
"Albula","Albula",20,1,"general"
"Almaco jack","Seriola rivoliana",1,2,"species"
"Amarsipus carlsbergi","Amarsipus carlsbergi",4,2,"species"
"Amberjacks, yellowtails                      ","Seriola",45,1,"general"
"Ammodytoides gilli","Ammodytoides gilli",3,2,"species"
"Anchoa","Anchoa",29,1,"general"
"Anchoveta","Cetengraulis mysticetus",28,2,"species"
"Anchovies","Engraulidae",42,1,"general"
"Angelfishes","Pomacanthidae",2,1,"general"
"Anisotremus","Anisotremus",1,1,"general"
"Antennarius","Antennarius",2,1,"general"
"Anthiinae","Anthiinae",24,1,"general"
"Apogon","Apogon",11,1,"general"
"Argentina","Argentina",4,1,"general"
"Argentines","Argentinidae",1,1,"general"
"Argyropelecus","Argyropelecus",302,1,"general"
"Ariosoma","Ariosoma",4,1,"general"
"Aristostomias","Aristostomias",4,1,"general"
"Armed grunt","Conodon serrifer",1,2,"species"
"Arrow goby","Clevelandia ios",11,2,"species"
"Arrowtooth flounder","Atheresthes stomias",2,2,"species"
"Artedius","Artedius",19,1,"general"
"Asaedai flounder","Monolene asaedae",1,2,"species"
"Aseraggodes","Aseraggodes",4,1,"general"
"Astronesthes","Astronesthes",24,1,"general"
"Atherinella","Atherinella",3,1,"general"
"Atlantic fangjaw","Gonostoma atlanticum",81,2,"species"
"Atlantic sabertooth","Coccorella atlantica",2,2,"species"
"Atlantic saury","Scomberesox saurus",19,2,"species"
"Aulopus","Aulopus",7,1,"general"
"Aurora rockfish","Sebastes aurora",1060,2,"species"
"Auxis","Auxis",708,1,"general"
"Balloonfish","Diodon holocanthus",1,2,"species"
"Banded flyingfish","Hirundichthys marginatus",104,2,"species"
"Bank rockfish","Sebastes rufus",128,2,"species"
"Barbel flyingfish","Exocoetus monocirrhus",11,2,"species"
"Barnaclebill blenny","Hypsoblennius brevipinnis",6,2,"species"
"Barradcudinas","Paralepididae",1471,1,"general"
"Barred sand bass","Paralabrax nebulifer",11,2,"species"
"Barreleye","Macropinna microstoma",2,2,"species"
"Barspot cardinalfish","Apogon retrosella",1,2,"species"
"Basketweave cusk-eel","Ophidion scrippsae",629,2,"species"
"Batfishes","Ogcocephalidae",3,1,"general"
"Bathophilus","Bathophilus",81,1,"general"
"Bathyagonus","Bathyagonus",2,1,"general"
"Bathycongrus","Bathycongrus",1,1,"general"
"Bathylagoides","Bathylagoides",102,1,"general"
"Bathylagus","Bathylagus",380,1,"general"
"Bay blenny","Hypsoblennius gentilis",156,2,"species"
"Bay goby","Lepidogobius lepidus",275,2,"species"
"Bay pipefish","Syngnathus leptorhynchus",2,2,"species"
"Bean's sawtooth eel","Serrivomer beanii",1,2,"species"
"Benthalbella","Benthalbella",1,1,"general"
"Benthosema","Benthosema",42,1,"general"
"Benthosema suborbitale","Benthosema suborbitale",64,2,"species"
"Benttooth bristlemouth","Cyclothone acclinidens",711,2,"species"
"Bermuda lanternfish","Hygophum hygomii",2,2,"species"
"Big mouth (Large leaflike eel)","Congriscus megastomus",1,2,"species"
"Bigeye cigarfish","Cubiceps pauciradiatus",485,2,"species"
"Bigeye crevalle jack","Caranx sexfasciatus",26,2,"species"
"Bigeye lightfish","Woodsia nonsuchae",11,2,"species"
"Bigeye scad","Selar crumenophthalmus",27,2,"species"
"Bigeye squaretail","Tetragonurus atlanticus",5,2,"species"
"Bigeye starsnout","Bathyagonus pentacanthus",28,2,"species"
"Bigeyes","Priacanthidae",4,1,"general"
"Bigfin pearleye","Scopelarchus michaelsarsi",1,2,"species"
"Bighead mora","Laemonema verecundum",28,2,"species"
"Bigmouth sole","Hippoglossina stomata",884,2,"species"
"Bignose nitens","Rhynchoconger nitens",20,2,"species"
"Bigscales","Melamphaidae",40,1,"general"
"Billfishes","Istiophoridae",14,1,"general"
"Black brotula","Cherublemma emmelas",19,2,"species"
"Black croaker","Cheilotrema saturnum",84,2,"species"
"Black gemfish","Nesiarchus nasutus",1,2,"species"
"Black mackerel","Scombrolabrax heterolepis",14,2,"species"
"Black skipjack","Euthynnus lineatus",47,2,"species"
"Black snake mackerel","Nealotus tripes",79,2,"species"
"Black surgeonfish","Ctenochaetus hawaiiensis",1,2,"species"
"Black swallower","Chiasmodon subniger",803,2,"species"
"Blackbelly dragonfish","Stomias atriventer",3180,2,"species"
"Blackbelly pearleye","Scopelarchus analis",301,2,"species"
"Blackchin blacksmelt","Bathylagoides nigrigenys",260,2,"species"
