"survey","line","station","order","long_dd","lat_dd","pattern","lat_utm11m","long_utm11m","depth","lat_utm11km","long_utm11km"
"ROS",93.3,26.7,1,-117.30538,32.95637,"75 stations (summer/fall)",3646491.51250235,471458.584808816,63,3646.49151250235,471.458584808816
"SCCOOS",93.4,26.4,2,-117.27357,32.94905,"75 stations (summer/fall)",3645671.84764919,474429.512173906,20,3645.67184764919,474.429512173906
"SCCOOS",91.7,26.4,3,-117.46542,33.2435,"75 stations (summer/fall)",3678378.44454379,456642.031542352,20,3678.37844454379,456.642031542352
"ROS",93.3,28,4,-117.39438,32.91304,"75 stations (summer/fall)",3641715.58099713,463122.445238221,609,3641.71558099713,463.122445238221
"ROS",93.3,30,5,-117.53122,32.84637,"75 stations (summer/fall)",3634380.7107858,450289.521460764,846,3634.3807107858,450.289521460764
"ROS",93.3,35,6,-117.87286,32.67971,"75 stations (summer/fall)",3616117.05719934,418166.391029198,616,3616.11705719934,418.166391029198
"ROS",93.3,40,7,-118.21386,32.51304,"75 stations (summer/fall)",3597953.83800084,385983.827153862,1627,3597.95383800084,385.983827153862
"ROS",93.3,45,8,-118.55423,32.34637,"75 stations (summer/fall)",3579890.77568297,353741.50835066,1376,3579.89077568297,353.74150835066
"ROS",93.3,50,9,-118.89396,32.17971,"75 stations (summer/fall)",3561927.57009717,321440.983139883,1452,3561.92757009717,321.440983139883
"ROS",93.3,55,10,-119.23306,32.01304,"75 stations (summer/fall)",3544060.62107537,289081.840285555,1588,3544.06062107537,289.081840285555
"ROS",93.3,60,11,-119.57154,31.84637,"75 stations (summer/fall)",3526289.66504205,256663.691125357,1899,3526.28966504205,256.663691125357
"ROS",93.3,70,12,-120.24666,31.51304,"75 stations (summer/fall)",3491031.34817911,191650.543763864,3931,3491.03134817911,191.650543763864
"ROS",93.3,80,13,-120.91935,31.17971,"75 stations (summer/fall)",3456140.53828558,126402.500443757,3848,3456.14053828558,126.402500443757
"ROS",93.3,90,14,-121.58965,30.84637,"75 stations (summer/fall)",3421605.24513188,60919.1601209838,4109,3421.60524513188,60.9191601209838
"ROS",93.3,100,15,-122.2576,30.51304,"75 stations (summer/fall)",3387416.88296012,-4800.13040772051,4132,3387.41688296012,-4.80013040772051
"ROS",93.3,110,16,-122.92324,30.17971,"75 stations (summer/fall)",3353563.61154339,-70756.5240842259,3868,3353.56361154339,-70.7565240842259
"ROS",93.3,120,17,-123.58661,29.84637,"75 stations (summer/fall)",3320033.66137127,-136951.566283252,4061,3320.03366137127,-136.951566283252
"ROS",90,120,18,-123.99893,30.41795,"75 stations (summer/fall)",3385976.08797414,-173004.123605168,4141,3385.97608797414,-173.004123605168
"ROS",90,110,19,-123.33164,30.75128,"75 stations (summer/fall)",3419219.86450077,-106612.383367594,4017,3419.21986450077,-106.612383367594
"ROS",90,100,20,-122.66202,31.08462,"75 stations (summer/fall)",3452795.76181033,-40466.0610893595,3997,3452.79576181033,-40.4660610893595
"ROS",90,90,21,-121.99001,31.41795,"75 stations (summer/fall)",3486712.06954875,25438.0741776784,3879,3486.71206954875,25.4380741776784
"ROS",90,80,22,-121.31559,31.75128,"75 stations (summer/fall)",3520980.68023394,91099.2370662442,3694,3520.98068023394,91.0992370662442
"ROS",90,70,23,-120.63872,32.08462,"75 stations (summer/fall)",3555613.44968588,156518.15356935,3806,3555.61344968588,156.51815356935
"ROS",90,60,24,-119.95935,32.41795,"75 stations (summer/fall)",3590618.95394144,221695.980577556,880,3590.61895394144,221.695980577556
"ROS",90,53,25,-119.48228,32.65128,"75 stations (summer/fall)",3615350.97035084,267177.186125647,1309,3615.35097035084,267.177186125647
"ROS",90,45,26,-118.93551,32.91795,"75 stations (summer/fall)",3643852.60076602,319011.349399314,1695,3643.85260076602,319.011349399314
"ROS",90,37,27,-118.38708,33.18462,"75 stations (summer/fall)",3672611.05464268,370690.196589555,1177,3672.61105464268,370.690196589555
"ROS",90,35,28,-118.24971,33.25128,"75 stations (summer/fall)",3679840.62860327,383585.635716918,344,3679.84062860327,383.585635716918
"ROS",90,30,29,-117.90582,33.41795,"75 stations (summer/fall)",3697989.13879654,415781.887354709,613,3697.98913879654,415.781887354709
"ROS",90,28,30,-117.76808,33.48462,"75 stations (summer/fall)",3705277.94439625,428643.144372204,63,3705.27794439625,428.643144372204
"SCCOOS",90,27.7,31,-117.74741,33.49462,"75 stations (summer/fall)",3706372.65734873,430571.471745106,20,3706.37265734873,430.571471745106
"SCCOOS",88.5,30.1,32,-118.08369,33.67442,"75 stations (summer/fall)",3726584.07647986,399541.062266861,20,3726.58407647986,399.541062266861
"SCCOOS",86.8,32.5,33,-118.44423,33.88887,"75 stations (summer/fall)",3750772.84430223,366449.667725986,20,3750.77284430223,366.449667725986
"ROS",86.7,33,34,-118.49033,33.88953,"75 stations (summer/fall)",3750906.92146394,362187.425435037,57,3750.90692146394,362.187425435037
"ROS",86.7,35,35,-118.62873,33.82286,"75 stations (summer/fall)",3743708.01933924,349271.038934811,662,3743.70801933924,349.271038934811
"SCCOOS",85.4,35.8,36,-118.83413,34.02136,"75 stations (summer/fall)",3766041.19089945,330653.573640714,20,3766.04119089945,330.653573640714
"ROS",86.7,40,37,-118.97425,33.65619,"75 stations (summer/fall)",3725784.4145209,316936.97642429,737,3725.7844145209,316.93697642429
"ROS",86.7,45,38,-119.3191,33.48953,"75 stations (summer/fall)",3707965.2527887,284540.408788189,1644,3707.9652527887,284.540408788189
"ROS",86.7,50,39,-119.66327,33.32286,"75 stations (summer/fall)",3690246.90346325,252082.82741463,78,3690.24690346325,252.08282741463
"ROS",86.7,55,40,-120.00678,33.15619,"75 stations (summer/fall)",3672629.12967442,219562.976253475,1201,3672.62912967442,219.562976253475
"ROS",86.7,60,41,-120.34964,32.98953,"75 stations (summer/fall)",3655111.6878105,186980.510502778,722,3655.1116878105,186.980510502778
"ROS",86.7,70,42,-121.03339,32.65619,"75 stations (summer/fall)",3620366.67961243,121631.527071973,3771,3620.36667961243,121.631527071973
"ROS",86.7,80,43,-121.71457,32.32286,"75 stations (summer/fall)",3586003.25370677,56035.2133719307,4041,3586.00325370677,56.0352133719307
"ROS",86.7,90,44,-122.39323,31.98953,"75 stations (summer/fall)",3552009.55528013,-9809.62919660221,4099,3552.00955528013,-9.80962919660221
"ROS",86.7,100,45,-123.0694,31.65619,"75 stations (summer/fall)",3518373.71986209,-75902.7388238237,4147,3518.37371986209,-75.9027388238238
"ROS",86.7,110,46,-123.74313,31.32286,"75 stations (summer/fall)",3485087.38535817,-142245.957419945,3951,3485.08738535817,-142.245957419945
"ROS",83.3,110,47,-124.1704,31.91176,"75 stations (summer/fall)",3553177.53989509,-178715.899704351,4163,3553.17753989509,-178.715899704351
"ROS",83.3,100,48,-123.49232,32.24509,"75 stations (summer/fall)",3586156.14579593,-112164.741773907,4145,3586.15614579593,-112.164741773907
"ROS",83.3,90,49,-122.81173,32.57842,"75 stations (summer/fall)",3619490.44527496,-45870.4294014426,4247,3619.49044527496,-45.8704294014426
"ROS",83.3,80,50,-122.12858,32.91176,"75 stations (summer/fall)",3653192.07174742,20168.9909976886,4180,3653.19207174742,20.1689909976886
"ROS",83.3,70,51,-121.44283,33.24509,"75 stations (summer/fall)",3687269.46560113,85953.956696716,3797,3687.26946560113,85.953956696716
"ROS",83.3,60,52,-120.75443,33.57842,"75 stations (summer/fall)",3721734.44121603,151485.603706634,1397,3721.73444121603,151.485603706634
