net_type,long_net_type,description
BT,BOTTOM TRAWL,
C1,CAL1MOBL,"CalCOFI One Meter Oblique Tow (0.8 m^2 mouth area, 1-m diameter) "
C2,CAL2MOBL,"CalCOFI Two Meter Oblique Tow (2-m^2 mouth area, 1.6-m diameter)"
CB,CALBOBL,"CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)"
CV,CALVET,CalCOFI Vertical Egg Tow (ring net with 0.25m^2 mouth)
DC,DEEP BONGO,Oblique tow to 600 m using the CB net (historically used to sample sablefish)
HR,HEAD ROPE,
M1,MOCNESS 1M (10),Multiple Opening Closing Nets Environmental Sensor System (1 m^2 mouth)
M2,MOCNESS 10M (6),Multiple Opening Closing Nets Environmental Sensor System (3 m^2 mouth)
MB,MARBOBL,Marmap Oblique Bongo (2-ft diameter)
MT,MANTA,Twin Winged Continuous-Flow Surface Tow
NE,NEUSTON,
PV,PAIROVET,Paired Tows of CalCOFI Vertical Egg Net
