"","authority","fmp","comm_name","species"
"60","Federal","PFMC Groundfish","Blackgill rockfish","Sebastes melanostomus"
"61","Federal","PFMC Groundfish","Blackspotted rockfish","Sebastes melanostictus"
"62","Federal","PFMC Groundfish","Blue rockfish","Sebastes mystinus"
"63","Federal","PFMC Groundfish","Bocaccio","Sebastes paucispinis"
"64","Federal","PFMC Groundfish","Bronzespotted rockfish","Sebastes gilli"
"65","Federal","PFMC Groundfish","Brown rockfish","Sebastes auriculatus"
"66","Federal","PFMC Groundfish","Calico rockfish","Sebastes dallii"
"67","Federal","PFMC Groundfish","California scorpionfish","Scorpaena gutatta"
"68","Federal","PFMC Groundfish","Canary rockfish","Sebastes pinniger"
"69","Federal","PFMC Groundfish","Chameleon rockfish","Sebastes phillipsi"
"70","Federal","PFMC Groundfish","Chilipepper rockfish","Sebastes goodei"
"71","Federal","PFMC Groundfish","China rockfish","Sebastes nebulosus"
"72","Federal","PFMC Groundfish","Copper rockfish","Sebastes caurinus"
"73","Federal","PFMC Groundfish","Cowcod","Sebastes levis"
"74","Federal","PFMC Groundfish","Darkblotched rockfish","Sebastes crameri"
"75","Federal","PFMC Groundfish","Deacon rockfish","Sebastes diaconus"
"76","Federal","PFMC Groundfish","Dusky rockfish","Sebastes ciliatus"
"77","Federal","PFMC Groundfish","Dwarf-red rockfish","Sebastes rufinanus"
"78","Federal","PFMC Groundfish","Flag rockfish","Sebastes rubrivinctus"
"79","Federal","PFMC Groundfish","Freckled rockfish","Sebastes lentiginosus"
"80","Federal","PFMC Groundfish","Gopher rockfish","Sebastes carnatus"
"81","Federal","PFMC Groundfish","Grass rockfish","Sebastes rastrelliger"
"82","Federal","PFMC Groundfish","Greenblotched rockfish","Sebastes rosenblatti"
"83","Federal","PFMC Groundfish","Greenspotted rockfish","Sebastes chlorostictus"
"84","Federal","PFMC Groundfish","Greenstriped rockfish","Sebastes elongatus"
"85","Federal","PFMC Groundfish","Halfbanded rockfish","Sebastes semicinctus"
"86","Federal","PFMC Groundfish","Harlequin rockfish","Sebastes variegatus"
"87","Federal","PFMC Groundfish","Honeycomb rockfish","Sebastes umbrosus"
"88","Federal","PFMC Groundfish","Kelp rockfish","Sebastes atrovirens"
"89","Federal","PFMC Groundfish","Longspine thornyhead","Sebastolobus altivelis"
"90","Federal","PFMC Groundfish","Mexican rockfish","Sebastes macdonaldi"
"91","Federal","PFMC Groundfish","Olive rockfish","Sebastes serranoides"
"92","Federal","PFMC Groundfish","Pink rockfish","Sebastes eos"
"93","Federal","PFMC Groundfish","Pinkrose rockfish","Sebastes simulator"
"94","Federal","PFMC Groundfish","Pygmy rockfish","Sebastes wilsoni"
"95","Federal","PFMC Groundfish","Pacific ocean perch","Sebastes alutus"
"96","Federal","PFMC Groundfish","Quillback rockfish","Sebastes maliger"
"97","Federal","PFMC Groundfish","Redbanded rockfish","Sebastes babcocki"
"98","Federal","PFMC Groundfish","Redstripe rockfish","Sebastes proriger"
"99","Federal","PFMC Groundfish","Rosethorn rockfish","Sebastes helvomaculatus"
"100","Federal","PFMC Groundfish","Rosy rockfish","Sebastes rosaceus"
"101","Federal","PFMC Groundfish","Rougheye rockfish","Sebastes aleutianus"
"102","Federal","PFMC Groundfish","Sharpchin rockfish","Sebastes zacentrus"
"103","Federal","PFMC Groundfish","Shortraker rockfish","Sebastes borealis"
"104","Federal","PFMC Groundfish","Shortspine thornyhead","Sebastolobus alascanus"
"105","Federal","PFMC Groundfish","Silvergray rockfish","Sebastes brevispinis"
"106","Federal","PFMC Groundfish","Speckled rockfish","Sebastes ovalis"
"107","Federal","PFMC Groundfish","Splitnose rockfish","Sebastes diploproa"
"108","Federal","PFMC Groundfish","Squarespot rockfish","Sebastes hopkinsi"
"109","Federal","PFMC Groundfish","Sunset rockfish","Sebastes crocotulus"
"110","Federal","PFMC Groundfish","Starry rockfish","Sebastes constellatus"
"111","Federal","PFMC Groundfish","Stripetail rockfish","Sebastes saxicola"
"112","Federal","PFMC Groundfish","Swordspine rockfish","Sebastes ensifer"
"113","Federal","PFMC Groundfish","Tiger rockfish","Sebastes nigrocinctus"
"114","Federal","PFMC Groundfish","Treefish","Sebastes serriceps"
"115","Federal","PFMC Groundfish","Vermilion rockfish","Sebastes miniatus"
"116","Federal","PFMC Groundfish","Widow rockfish","Sebastes entomelas"
"117","Federal","PFMC Groundfish","Yelloweye rockfish","Sebastes ruberrimus"
"118","Federal","PFMC Groundfish","Yellowmouth rockfish","Sebastes reedi"
"119","Federal","PFMC Groundfish","Yellowtail rockfish","Sebastes flavidus"
"120","Federal","PFMC Groundfish","Arrowtooth flounder (turbot)","Atheresthes stomias"
"121","Federal","PFMC Groundfish","Butter sole","Isopsetta isolepis"
"122","Federal","PFMC Groundfish","Curlfin sole","Pleuronichthys decurrens"
"123","Federal","PFMC Groundfish","Dover sole","Microstomus pacificus"
"124","Federal","PFMC Groundfish","English sole","Parophrys vetulus"
"125","Federal","PFMC Groundfish","Flathead sole","Hippoglossoides elassodon"
"126","Federal","PFMC Groundfish","Pacific sanddab","Citharichthys sordidus"
"127","Federal","PFMC Groundfish","Petrale sole","Eopsetta jordani"
"128","Federal","PFMC Groundfish","Rex sole","Glyptocephalus zachirus"
"129","Federal","PFMC Groundfish","Rock sole","Lepidopsetta bilineata"
"130","Federal","PFMC Groundfish","Sand sole","Psettichthys melanostictus"
"131","Federal","PFMC Groundfish","Starry flounder","Platichthys stellatus"
"132","Federal","PFMC Coastal Pelagic Species","Pacific sardine","Sardinops sagax"
"133","Federal","PFMC Coastal Pelagic Species","Pacific (chub) mackerel","Scomber japonicus"
"134","Federal","PFMC Coastal Pelagic Species","Northern anchovy","Engraulis mordax"
"135","Federal","PFMC Coastal Pelagic Species","Market squid","Doryteuthis opalescens"
"136","Federal","PFMC Coastal Pelagic Species","Jack mackerel","Trachurus symmetricus"
"137","Federal","PFMC Coastal Pelagic Species","North Pacific krill","Euphausia pacifica"
"138","Federal","PFMC Coastal Pelagic Species","North Pacific krill","Thysanoessa spinifera"
"139","Federal","PFMC Coastal Pelagic Species","North Pacific krill","Nyctiphanes simplex"
"140","Federal","PFMC Coastal Pelagic Species","North Pacific krill","Nematoscelis difficilis"
"141","Federal","PFMC Coastal Pelagic Species","North Pacific krill","Thysanoessa gregaria"
"142","Federal","PFMC Coastal Pelagic Species","North Pacific krill","Euphausia recurva"
"143","Federal","PFMC Coastal Pelagic Species","North Pacific krill","Euphausia gibboides"
"144","Federal","PFMC Coastal Pelagic Species","North Pacific krill","Euphausia eximia"
"145","Federal","PFMC Highly Migratory Species","North Pacific albacore","Thunnus alalunga"
"146","Federal","PFMC Highly Migratory Species","Yellowfin tuna","Thunnus albacares"
"147","Federal","PFMC Highly Migratory Species","Bigeye tuna","Thunnus obesus"
"148","Federal","PFMC Highly Migratory Species","Skipjack tuna","Katsuwonus pelamis"
"149","Federal","PFMC Highly Migratory Species","Pacific bluefin tuna","Thunnus orientalis"
"150","Federal","PFMC Highly Migratory Species","Common thresher shark","Alopias vulpinus"
"151","Federal","PFMC Highly Migratory Species","Shortfin mako","Isurus oxyrinchus"
"152","Federal","PFMC Highly Migratory Species","Blue shark","Prionace glauca"
"153","Federal","PFMC Highly Migratory Species","Striped marlin","Kajikia audax"
"154","Federal","PFMC Highly Migratory Species","Swordfish","Xiphias gladius"
"155","Federal","PFMC Highly Migratory Species","Dolphinfish","Coryphaena hippurus"
"156","Federal","PFMC Salmon","Chinook salmon","Oncorhynchus tshawytscha"
"157","Federal","PFMC Salmon","Coho salmon","Oncorhynchus kisutch"
"158","Federal","PFMC Salmon","Pink salmon","Oncorhynchus gorbuscha"
