"","authority","fmp","comm_name","species"
"1","State","CDFW Enhanced Status Report","Barred sand bass","Paralabrax nebulifer"
"2","State","CDFW Enhanced Status Report","Barred surfperch","Amphistichus argenteus"
"3","State","CDFW Enhanced Status Report","Redtail surfperch","Amphistichus rhodoterus"
"4","State","CDFW Enhanced Status Report","Brown smoothhound shark","Mustelus henlei"
"5","State","CDFW Enhanced Status Report","California corbina","Menticirrhus undulatus"
"6","State","CDFW Enhanced Status Report","California grunion","Leuresthes tenuis"
"7","State","CDFW Enhanced Status Report","California halibut","Paralichthys californicus"
"8","State","CDFW Nearshore","California sheephead","Bodianus pulcher"
"9","State","CDFW California Spiny Lobster","California spiny lobster","Panulirus interruptus"
"10","State","CDFW Enhanced Status Report","Dungeness crab","Metacarcinus magister"
"11","State","CDFW Enhanced Status Report","Giant kelp","Macrocystis pyrifera"
"12","State","CDFW Enhanced Status Report","Bull kelp","Nereocystis luetkeana"
"13","State","CDFW Enhanced Status Report","Giant red sea cucumber","Apostichopus californicus"
"14","State","CDFW Enhanced Status Report","Jacksmelt","Atherinopsis californiensis"
"15","State","CDFW Enhanced Status Report","Kellet's whelk","Kelletia kelletii"
"16","State","CDFW Enhanced Status Report","Kelp bass","Paralabrax clathratus"
"17","State","CDFW Enhanced Status Report","Night smelt","Spirinchus starksi"
"18","State","CDFW Pink (Ocean) Shrimp","Ocean pink shrimp","Pandalus jordani"
"19","State","CDFW Enhanced Status Report","Ocean whitefish","Caulolatilus princeps"
"20","State","CDFW Enhanced Status Report","Pacific angel shark","Squatina californica"
"21","State","CDFW Enhanced Status Report","Pacific barracuda","Sphyraena argentea"
"22","State","CDFW Enhanced Status Report","Pacific bonito","Sarda chiliensis"
"23","State","CDFW Enhanced Status Report","Pacific geoduck clam","Panopea generosa"
"24","State","CDFW Enhanced Status Report","Pacific hagfish","Eptatretus stoutii"
"25","State","CDFW Enhanced Status Report","Pismo clam","Tivela stultorum"
"26","State","CDFW Enhanced Status Report","Red sea urchin","Mesocentrotus franciscanus"
"27","State","CDFW Enhanced Status Report","Ridgeback prawn","Sicyonia ingentis"
"28","State","CDFW Enhanced Status Report","Red rock crab","Cancer productus"
"29","State","CDFW Enhanced Status Report","Yellow rock crab","Metacarcinus anthonyi"
"30","State","CDFW Enhanced Status Report","Brown rock crab","Romaleon antennarium"
"31","State","CDFW Enhanced Status Report","Shiner perch","Cymatogaster aggregata"
"32","State","CDFW Enhanced Status Report","Spot prawn","Pandalus platyceros"
"33","State","CDFW Enhanced Status Report","Spotted sand bass","Paralabrax maculatofasciatus"
"34","State","CDFW Enhanced Status Report","Surf smelt","Hypomesus pretiosus"
"35","State","CDFW Enhanced Status Report","Warty sea cucumber","Apostichopus parvimensis"
"36","State","CDFW Enhanced Status Report","White croaker","Genyonemus lineatus"
"37","State","CDFW White Seabass","White seabass","Atractoscion nobilis"
"38","State","CDFW Enhanced Status Report","White sturgeon","Acipenser transmontanus"
"39","State","CDFW Enhanced Status Report","Yellowfin croaker","Umbrina roncador"
"40","State","CDFW Enhanced Status Report","Yellowtail","Seriola lalandi"
"41","State","CDFW Red Abalone","Red abalone","Haliotis rufescens"
"42","State","CDFW Pacific Herring","Pacific herring","Clupea pallasii pallasii"
"43","State","CDFW Nearshore","California scorpionfish","Scorpaena guttata"
"44","State","CDFW Nearshore","Monkeyface prickleback","Cebidichthys violaceus"
"45","State","CDFW Nearshore","Rock greenling","Hexagrammos lagocephalus"
"46","Federal","PFMC Groundfish","Big skate","Raja binoculata"
"47","Federal","PFMC Groundfish","Leopard shark","Triakis semifasciata"
"48","Federal","PFMC Groundfish","Longnose skate","Raja rhina"
"49","Federal","PFMC Groundfish","Pacific Spiny dogfish","Squalus suckleyi"
"50","Federal","PFMC Groundfish","Cabezon","Scorpaenichthys marmoratus"
"51","Federal","PFMC Groundfish","Kelp greenling","Hexagrammos decagrammus"
"52","Federal","PFMC Groundfish","Lingcod","Ophiodon elongatus"
"53","Federal","PFMC Groundfish","Pacific cod","Gadus macrocephalus"
"54","Federal","PFMC Groundfish","Pacific whiting (hake)","Merluccius productus"
"55","Federal","PFMC Groundfish","Sablefish","Anoplopoma fimbria"
"56","Federal","PFMC Groundfish","Aurora rockfish","Sebastes aurora"
"57","Federal","PFMC Groundfish","Bank rockfish","Sebastes rufus"
"58","Federal","PFMC Groundfish","Black rockfish","Sebastes melanops"
"59","Federal","PFMC Groundfish","Black and yellow rockfish","Sebastes chrysomelas"
