"stockid","stocklong","assessid","assessor_id","assess_method","country","region","area","family","species","comm_name"
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)","WGSASP-ANCHMEDGSA17-18-2000-2022-HIVELY","WGSASP","SAM","multinational","Mediterranean-Black Sea","Adriatic Sea (GSA 17,18)","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHMEDGSA19","Anchovy Western Ionian Sea","STECF-ANCHMEDGSA19-2006-2012-OSIO","STECF","sepVPA","multinational","Mediterranean-Black Sea","Western Ionian Sea","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea","STECF-ANCHMEDGSA20-2000-2008-OSIO","STECF","XSA","multinational","Mediterranean-Black Sea","Eastern Ionian Sea","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHMEDGSA22-23","Anchovy Aegean Sea and Crete Island (GSA 22,23)","STECF-ANCHMEDGSA22-23-2000-2016-MEDIMP2021-2","STECF","a4a","multinational","Mediterranean-Black Sea","Aegean Sea and Crete Island (GSA 22,23)","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHMEDGSA29","Anchovy Black Sea","SGSABS-ANCHMEDGSA29-1986-2021-HIVELY","SGSABS","SAM","multinational","Mediterranean-Black Sea","Black Sea","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHMEDGSA6","Anchovy Northern Spain","WGSASP-ANCHMEDGSA6-1945-2021-HIVELY","WGSASP","SPICT","multinational","Mediterranean-Black Sea","Northern Spain","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHMEDGSA7","Anchovy Gulf of Lions","WGSASP-ANCHMEDGSA7-1993-2021-HIVELY","WGSASP","a4a","multinational","Mediterranean-Black Sea","Gulf of Lions","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHMEDGSA9-11","Anchovy Geographical Sub-Areas 9-11","STECF-ANCHMEDGSA9-11-2009-2016-MEDIMP2021-2","STECF","XSA","multinational","Mediterranean-Black Sea","Geographical Sub-Areas 9-11","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHOBAYB","Anchovy Bay of Biscay","WGHANSA-ANCHOBAYB-1987-2021-ICESIMP2021-2","WGHANSA","Unknown","multinational","European Union","Bay of Biscay","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHOCWACIV-BEN","Anchovy Central West Africa Cote Divoire-Benin","FAO-SPNWA-ANCHOCWACIV-BEN-1990-2017-ASHBROOK","FAO-SPNWA","DPM","multinational","West Africa","Central West Africa Cote Divoire-Benin","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHOCWAGAB-AGO","Anchovy Central West Africa Gabon-Angola","FAO-SPNWA-ANCHOCWAGAB-AGO-1995-2017-ASHBROOK","FAO-SPNWA","DPM","multinational","West Africa","Central West Africa Gabon-Angola","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHONWA","Anchovy North West Africa","FAO-SPNWA-ANCHONWA-1990-2020-HIVELY","FAO-SPNWA","UnknownYPRM","multinational","West Africa","North West Africa","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHOSA","Anchovy South Africa","MARAM-ANCHOSA-1949-2019-deMoor","MARAM","IA","South Africa","Southern Africa","South Africa","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","CSERG","AAPM","Iran","Other","Iranian Caspian Sea","Clupeidae","Clupeonella engrauliformis","Anchovy kilka"
"ANGLMEDGSA15-16","Black bellied angler Malta Island and South of Sicily (GSA 15, 16)","STECF-ANGLMEDGSA15-16-2006-2011-OSIO","STECF","VIT","multinational","Mediterranean-Black Sea","Malta Island and South of Sicily (GSA 15, 16)","Lophiidae","Lophius budegassa","Black bellied angler"
"ANGLMEDGSA5","Black bellied angler Balearic Island","STECF-ANGLMEDGSA5-2003-2013-OSIO","STECF","XSA","multinational","Mediterranean-Black Sea","Balearic Island","Lophiidae","Lophius budegassa","Black bellied angler"
"ANGLMEDGSA6","Black bellied angler Northern Spain","STECF-ANGLMEDGSA6-2004-2013-OSIO","STECF","XSA","multinational","Mediterranean-Black Sea","Northern Spain","Lophiidae","Lophius budegassa","Black bellied angler"
"ANGLMEDGSA7","Black bellied angler Gulf of Lions","STECF-ANGLMEDGSA7-2005-2011-OSIO","STECF","VIT","multinational","Mediterranean-Black Sea","Gulf of Lions","Lophiidae","Lophius budegassa","Black bellied angler"
"ANGLSPPIIIa-IV-VI","Anglerfish spp ICES 3a-4-6","WGCSE-ANGLSPPIIIa-IV-VI-1991-2019-ICESIMP2021-2","WGCSE","Unknown","multinational","European Union","ICES 3a-4-6","Lophiidae","Lophius spp","Anglerfish spp"
"ANGLVIIIc-IXa","Black bellied angler ICES 8c-9a","WGBIE-ANGLVIIIc-IXa-1980-2021-ICESIMP2021-2","WGBIE","Unknown","multinational","European Union","ICES 8c-9a","Lophiidae","Lophius budegassa","Black bellied angler"
"ANGLVII-VIIIabd","Black bellied angler ICES 7-8abd","WGBIE-ANGLVII-VIIIabd-1986-2020-ICESIMP2021-2","WGBIE","Unknown","multinational","European Union","ICES 7-8abd","Lophiidae","Lophius budegassa","Black bellied angler"
"APOLLNEMS","Walleye pollock Nemuro Strait","FAFRFJ-APOLLNEMS-1981-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","Nemuro Strait","Gadidae","Gadus chalcogrammus","Walleye pollock"
"APOLLNSJ","Walleye pollock Sea of Japan North","FAFRFJ-APOLLNSJ-1970-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","Sea of Japan North","Gadidae","Gadus chalcogrammus","Walleye pollock"
"APOLLOKS","Walleye pollock Okhotsk Sea","FAFRFJ-APOLLOKS-1980-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","Okhotsk Sea","Gadidae","Gadus chalcogrammus","Walleye pollock"
"APOLLPJPN","Walleye pollock Pacific Coast of Japan","FAFRFJ-APOLLPJPN-1975-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","Pacific Coast of Japan","Gadidae","Gadus chalcogrammus","Walleye pollock"
"APSHRIMPSOJ","Alaskan pink shrimp Sea of Japan","FAFRFJ-APSHRIMPSOJ-1985-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","Sea of Japan","Pandalidae","Pandalus eous","Alaskan pink shrimp"
"ARCSURF4RST","Arctic surfclam Quebec and Gulf of St. Lawrence","DFO-QUE-ARCSURF4RST-1993-2014-OSGOOD","DFO-QUE","RV","Canada","Canada East Coast","Quebec and Gulf of St. Lawrence","Mactridae","Mactromeris polynyma","Arctic surfclam"
"ARCSURFBANQ","Arctic surfclam Banquereau","DFO-MAR-ARCSURFBANQ-1986-2010-CHING","DFO-MAR","Unknown","Canada","Canada East Coast","Banquereau","Mactridae","Mactromeris polynyma","Arctic surfclam"
"ARCSURFGB","Arctic surfclam Division 3LNO","DFO-ARCSURFGB-1989-2010-WATSON","DFO","SURBA","Canada","Canada East Coast","Division 3LNO","Mactridae","Mactromeris polynyma","Arctic surfclam"
"ARCSURFQCW","Arctic surfclam Quebec Coastal Waters","DFO-QUE-ARCSURFQCW-1993-2017-ASHBROOK","DFO-QUE","Unknown","Canada","Canada East Coast","Quebec Coastal Waters","Mactridae","Mactromeris polynyma","Arctic surfclam"
"ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","AFSC-ARFLOUNDBSAI-1975-2020-SISIMP2022","AFSC","SCA","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder"
"ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","AFSC-ARFLOUNDGA-1976-2021-SISIMP2022","AFSC","SCA","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder"
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","NWFSC-ARFLOUNDPCOAST-1916-2021-SISIMP2021-2","NWFSC","Unknown","USA","US West Coast","Pacific Coast","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder"
"ARGANCHONARG","Argentine anchoita Northern Argentina","INIDEP-ARGANCHONARG-1989-2019-PARMA","INIDEP","unknown","Argentina","South America","Northern Argentina","Engraulidae","Engraulis anchoita","Argentine anchoita"
"ARGANCHOSARG","Argentine anchoita Southern Argentina","INIDEP-ARGANCHOSARG-1989-2020-PARMA","INIDEP","ASPM","Argentina","South America","Southern Argentina","Engraulidae","Engraulis anchoita","Argentine anchoita"
"ARGHAKENARG","Argentine hake Northern Argentina","INIDEP-ARGHAKENARG-1985-2018-PARMA","INIDEP","XSA","Argentina","South America","Northern Argentina","Merlucciidae","Merluccius hubbsi","Argentine hake"
"ARGHAKESARG","Argentine hake Southern Argentina","INIDEP-ARGHAKESARG-1989-2019-Parma","INIDEP","XSA","Argentina","South America","Southern Argentina","Merlucciidae","Merluccius hubbsi","Argentine hake"
"ARGREENNEMS","Arabesque greenling Nemuro Strait","FAFRFJ-ARGREENNEMS-1985-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","Nemuro Strait","Hexagrammidae","Pleurogrammus azonus","Arabesque greenling"
"ARGREENNHOKK","Arabesque greenling North coast of Hokkaido","FAFRFJ-ARGREENNHOKK-1980-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","North coast of Hokkaido","Hexagrammidae","Pleurogrammus azonus","Arabesque greenling"
"ARGREENSHOKK","Arabesque greenling South coast of Hokkaido","FAFRFJ-ARGREENSHOKK-1975-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","South coast of Hokkaido","Hexagrammidae","Pleurogrammus azonus","Arabesque greenling"
"ASCADECS","Amberstripe scad East China Sea","FAFRFJ-ASCADECS-1973-2018-KUROTA","FAFRFJ","Unknown","Japan","Japan","East China Sea","Carangidae","Decapterus muroadsi","Amberstripe scad"
"ASHARNEATL","Angel shark Northeast Atlantic","WGEF-ASHARNEATL-1973-2018-ICESIMP2021","WGEF","Unknown","multinational","European Union","Northeast Atlantic","Squatinidae","Squatina squatina","Angel shark"
"ATBTUNAEATL","Atlantic bluefin tuna Eastern Atlantic","ICCAT-ATBTUNAEATL-1951-2016-PONS","ICCAT","VPA","multinational","Atlantic Ocean","Eastern Atlantic","Scombridae","Thunnus thynnus","Atlantic bluefin tuna"
"ATBTUNAWATL","Atlantic bluefin tuna Western Atlantic","ICCAT-ATBTUNAWATL-1950-2019-SISIMP2021-2","ICCAT","Unknown","multinational","Atlantic Ocean","Western Atlantic","Scombridae","Thunnus thynnus","Atlantic bluefin tuna"
"ATHAL3NOPs4VWX5Zc","Atlantic halibut Scotian Shelf and Southern Grand Banks","DFO-ATHAL3NOPs4VWX5Zc-1970-2014-WATSON","DFO","Unknown","Canada","Canada East Coast","Scotian Shelf and Southern Grand Banks","Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut"
"ATHAL4RST","Atlantic halibut Gulf of St. Lawrence","DFO-QUE-ATHAL4RST-1960-2018-ASHBROOK","DFO-QUE","SURBA","Canada","Canada East Coast","Gulf of St. Lawrence","Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut"
"ATHAL5YZ","Atlantic halibut Gulf of Maine / Georges Bank","NEFSC-ATHAL5YZ-2002-2021-SISIMP2024","NEFSC","Unknown","USA","US East Coast","Gulf of Maine / Georges Bank","Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut"
"ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","AFSC-ATKABSAI-1977-2020-SISIMP2021-2","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Hexagrammidae","Pleurogrammus monopterygius","Atka mackerel"
"ATKAGA","Atka mackerel Gulf of Alaska","AFSC-ATKAGA-1977-2015-SISIMP2021","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Hexagrammidae","Pleurogrammus monopterygius","Atka mackerel"
"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast","ASMFC-ATLCROAKMATLC-1981-2008-HIVELY","ASMFC","ASPM","USA","US East Coast","Mid-Atlantic Coast","Sciaenidae","Micropogonias undulatus","Atlantic croaker"
"ATOOTHFISHRS","Antarctic toothfish Ross Sea","CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN","CCAMLR","CASAL","multinational","Other","Ross Sea","Nototheniidae","Dissostichus mawsoni","Antarctic toothfish"
"AUROCKPCOAST","Aurora rockfish Pacific Coast","NWFSC-AUROCKPCOAST-1916-2013-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes aurora","Aurora rockfish"
"AUSSALMONNZ","Australian salmon New Zealand","NIWA-AUSSALMONNZ-1929-2013-FU","NIWA","CASAL","New Zealand","New Zealand","New Zealand","Arripidae","Arripis trutta","Australian salmon"
"AWOLF5YZ","Atlantic wolffish Gulf of Maine / Georges Bank","NEFSC-AWOLF5YZ-1968-2019-SISIMP2021-2","NEFSC","Unknown","USA","US East Coast","Gulf of Maine / Georges Bank","Anarhichadidae","Anarhichas lupus","Atlantic wolffish"
"AXBRMNWA","Axillary seabream North West Africa","FAO-DR-AXBRMNWA-1990-2016-ASHBROOK","FAO-DR","SBM","multinational","West Africa","North West Africa","Sparidae","Pagellus acarne","Axillary seabream"
"BCRABCHESB","Blue crab Chesapeake Bay","CBP-BCRABCHESB-1990-2022-HIVELY","CBP","Unknown","USA","US East Coast","Chesapeake Bay","Portunidae","Callinectes sapidus","Blue crab"
"BCROAKCWAGIN-LBR","Bobo croaker Central West Africa Guinea-Liberia","FAO-DR-BCROAKCWAGIN-LBR-1994-2007-CHING","FAO-DR","DPM","multinational","West Africa","Central West Africa Guinea-Liberia","Sciaenidae","Pseudotolithus elongatus","Bobo croaker"
"BERYXSPPNEATL","Beryx spp Northeast Atlantic","WGDEEP-BERYXSPPNEATL-1988-2019-ICESIMP2021-2","WGDEEP","Unknown","multinational","European Union","Northeast Atlantic","Berycidae","Beryx spp","Beryx spp"
"BFLOUN27-2932","Baltic flounder Subdivisions 27 and 29-32","WGBFAS-BFLOUN27-2932-1980-2020-ICESIMP2021-2","WGBFAS","Unknown","multinational","European Union","Subdivisions 27 and 29-32","Pleuronectidae","Platichthys solemdali","Baltic flounder"
"BGRDRNSWWA","Blue grenadier New South Wales to Western Australia","CSIRO-BGRDRNSWWA-1960-2020-MOESENEDER","CSIRO","SS3","Australia","Australia","New South Wales to Western Australia","Merlucciidae","Macruronus novaezelandiae","Blue grenadier"
"BGROCKPCOAST","Blackgill rockfish Pacific Coast","NWFSC-BGROCKPCOAST-1950-2019-SISIMP2021-2","NWFSC","Unknown","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes melanostomus","Blackgill rockfish"
"BGRUNTCWACIV-BEN","Bigeye grunt Central West Africa Cote Divoire-Benin","FAO-DR-BGRUNTCWACIV-BEN-1990-2006-CHING","FAO-DR","DPM","multinational","West Africa","Central West Africa Cote Divoire-Benin","Haemulidae","Brachydeuterus auritus","Bigeye grunt"
"BGRUNTCWACOG_AGO","Bigeye grunt Central West Africa Congo_Angola","FAO-DR-BGRUNTCWACOG_AGO-1995-2007-CHING","FAO-DR","DPM","multinational","West Africa","Central West Africa Congo_Angola","Haemulidae","Brachydeuterus auritus","Bigeye grunt"
"BHAKECWAAGO","Benguela hake Central West Africa Angola","FAO-DR-BHAKECWAAGO-1994-2010-ASHBROOK","FAO-DR","DPM","multinational","West Africa","Central West Africa Angola","Merlucciidae","Merluccius polli","Benguela hake"
"BHEADSHARATL","Bonnethead shark Atlantic","SEFSC-BHEADSHARATL-1950-2011-HIVELY","SEFSC","ASPM","USA","US Southeast and Gulf","Atlantic","Sphyrnidae","Sphyrna tiburo","Bonnethead shark"
"BIGEYEATL","Bigeye tuna Atlantic Ocean","ICCAT-BIGEYEATL-1950-2018-PONS","ICCAT","SS3","multinational","Atlantic Ocean","Atlantic Ocean","Scombridae","Thunnus obesus","Bigeye tuna"
"BIGEYECWPAC","Bigeye tuna Central Western Pacific Ocean","SPC-BIGEYECWPAC-1950-2020-SMITH","SPC","MULTIFAN-CL","multinational","Pacific Ocean","Central Western Pacific Ocean","Scombridae","Thunnus obesus","Bigeye tuna"
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","IATTC-BIGEYEEPAC-1954-2018-PONS","IATTC","SS3","multinational","Pacific Ocean","Eastern Pacific","Scombridae","Thunnus obesus","Bigeye tuna"
"BIGEYEIO","Bigeye tuna Indian Ocean","IOTC-BIGEYEIO-1950-2020-SMITH","IOTC","SS3","multinational","Indian Ocean","Indian Ocean","Scombridae","Thunnus obesus","Bigeye tuna"
"BIGHTREDSE","Bight redfish Southeast Australia","CSIRO-BIGHTREDSE-1960-2014-MOESENEDER","CSIRO","SS3","Australia","Australia","Southeast Australia","Berycidae","Centroberyx gerrardi","Bight redfish"
"BIGSKA3CD","Big skate West Coast of Vancouver Island","DFO-PAC-BIGSKA3CD-1954-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","West Coast of Vancouver Island","Rajidae","Beringraja binoculata","Big skate"
"BIGSKA4B","Big skate Strait of Georgia","DFO-PAC-BIGSKA4B-1996-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","Strait of Georgia","Rajidae","Beringraja binoculata","Big skate"
"BIGSKA5AB","Big skate Queen Charlotte Sound","DFO-PAC-BIGSKA5AB-1954-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","Queen Charlotte Sound","Rajidae","Beringraja binoculata","Big skate"
"BIGSKA5CDE","Big skate Hecate Strait","DFO-PAC-BIGSKA5CDE-1954-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","Hecate Strait","Rajidae","Beringraja binoculata","Big skate"
"BIGSKAGA","Big skate Gulf of Alaska","AFSC-BIGSKAGA-1990-2019-SISIMP2021-2","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Rajidae","Beringraja binoculata","Big skate"
"BIGSKAPCOAST","Big skate Pacific Coast","NWFSC-BIGSKAPCOAST-1916-2019-SISIMP2021-2","NWFSC","Unknown","USA","US West Coast","Pacific Coast","Rajidae","Beringraja binoculata","Big skate"
"BJMACKXa2","Blue jack mackerel Azores","WGHANSA-BJMACKXa2-1978-2017-ICESIMP2018","WGHANSA","Unknown","multinational","European Union","Azores","Carangidae","Trachurus picturatus","Blue jack mackerel"
"BKCDLFENI","Black cardinalfish East coast of North Island","NIWA-BKCDLFENI-1923-2009-CORDUE","NIWA","CASAL","New Zealand","New Zealand","East coast of North Island","Epigonidae","Epigonus telescopus","Black cardinalfish"
"BKINGCRABPI","Blue king crab Pribilof Islands","AFSC-BKINGCRABPI-1974-2021-SISIMP2021-2","AFSC","Unknown","USA","US Alaska","Pribilof Islands","Lithodidae","Paralithodes platypus","Blue king crab"
"BKINGCRABSMI","Blue king crab Saint Matthews Island","AFSC-BKINGCRABSMI-1978-2020-SISIMP2021-2","AFSC","Unknown","USA","US Alaska","Saint Matthews Island","Lithodidae","Paralithodes platypus","Blue king crab"
"BKSFNEATL","Black scabbardfish Northeast Atlantic","WGDEEP-BKSFNEATL-1988-2019-ICESIMP2021-2","WGDEEP","Unknown","multinational","European Union","Northeast Atlantic","Trichiuridae","Aphanopus carbo","Black scabbardfish"
"BLACKGROUPERGMSATL","Black grouper Gulf of Mexico and South Atlantic","SEFSC-BLACKGROUPERGMSATL-1986-2008-THORSON","SEFSC","ASAP","USA","US Southeast and Gulf","Gulf of Mexico and South Atlantic","Serranidae","Mycteroperca bonaci","Black grouper"
"BLACKOREOPR","Black oreo Pukaki Rise","NIWA-BLACKOREOPR-1974-2009-CORDUE","NIWA","CASAL","New Zealand","New Zealand","Pukaki Rise","Oreosomatidae","Allocyttus niger","Black oreo"
"BLACKOREOWECR","Black oreo West end of Chatham Rise","NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN","NZMFishDEEPWATER","CASAL","New Zealand","New Zealand","West end of Chatham Rise","Oreosomatidae","Allocyttus niger","Black oreo"
"BLACKROCKCAL","Black rockfish California","SWFSC-BLACKROCKCAL-1916-2019-SISIMP2021-2","SWFSC","Unknown","USA","US West Coast","California","Sebastidae","Sebastes melanops","Black rockfish"
"BLACKROCKORECOAST","Black rockfish Oregon Coast","NWFSC-BLACKROCKORECOAST-1892-2019-SISIMP2021-2","NWFSC","Unknown","USA","US West Coast","Oregon Coast","Sebastidae","Sebastes melanops","Black rockfish"
"BLACKROCKWASH","Black rockfish Washington","NWFSC-BLACKROCKWASH-1940-2023-SISIMP2024","NWFSC","SS3","USA","US West Coast","Washington","Sebastidae","Sebastes melanops","Black rockfish"
"BLINGI-II-IIIa-IVa-VIII-IX-XII","Blue ling ICES 1-2-3a-4a-8-9-12","WGDEEP-BLINGI-II-IIIa-IVa-VIII-IX-XII-1988-2018-ICESIMP2021","WGDEEP","Unknown","multinational","European Union","ICES 1-2-3a-4a-8-9-12","Lotidae","Molva dypterygia","Blue ling"
"BLINGVa-XIV","Blue ling ICES 5a-14","WGDEEP-BLINGVa-XIV-1973-2020-ICESIMP2021-2","WGDEEP","Unknown","multinational","Europe non EU","ICES 5a-14","Lotidae","Molva dypterygia","Blue ling"
"BLINGVb-VI-VII","Blue ling ICES 5b-6-7","WGDEEP-BLINGVb-VI-VII-1966-2020-ICESIMP2021-2","WGDEEP","Unknown","multinational","European Union","ICES 5b-6-7","Lotidae","Molva dypterygia","Blue ling"
"BLKMARLINIO","Black marlin Indian Ocean","IOTC-BLKMARLINIO-1950-2020-SMITH","IOTC","BBM","multinational","Indian Ocean","Indian Ocean","Istiophoridae","Istiompax indica","Black marlin"
"BLRAYIVa-VI","Blonde ray ICES 4a-6","WGEF-BLRAYIVa-VI-2005-2018-ICESIMP2021","WGEF","Unknown","multinational","European Union","ICES 4a-6","Rajidae","Raja brachyura","Blonde ray"
"BLRAYIVc-VIId","Blonde ray ICES 4c-7d","WGEF-BLRAYIVc-VIId-1988-2018-ICESIMP2021","WGEF","Unknown","multinational","European Union","ICES 4c-7d","Rajidae","Raja brachyura","Blonde ray"
"BLRAYIXa","Blonde ray Portugese Waters -East","WGEF-BLRAYIXa-2005-2015-ICESIMP2018","WGEF","Unknown","multinational","European Union","Portugese Waters -East","Rajidae","Raja brachyura","Blonde ray"
