"stockid","stocklong","assessid","assessor_id","assess_method","country","region","area","family","species","comm_name"
"ACADRED2J3K","Acadian redfish NAFO Division 2J3K","DFO-ACADRED2J3K-1960-2010-WATSON","DFO","BSPM","Canada","Canada East Coast","NAFO Division 2J3K","Sebastidae","Sebastes fasciatus","Acadian redfish"
"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1912-2023-SISIMP2024","NEFSC","ASAP","USA","US East Coast","Gulf of Maine / Georges Bank","Sebastidae","Sebastes fasciatus","Acadian redfish"
"ACADREDUT3","Acadian redfish Unit 3","DFO-ACADREDUT3-1960-2010-WATSON","DFO","BSPM","Canada","Canada East Coast","Unit 3","Sebastidae","Sebastes fasciatus","Acadian redfish"
"ACMACKSARG","Argentine chub mackerel Southern Argentina","INIDEP-ACMACKSARG-1989-2020-PARMA","INIDEP","ASPM","Argentina","South America","Southern Argentina","Scombridae","Scomber colias","Argentine chub mackerel"
"AFLONCH","Alfonsino Chile","SPRFMO-AFLONCH-1998-2011-CHING","SPRFMO","Unknown","multinational","South America","Chile","Berycidae","Beryx splendens","Alfonsino"
"ALBAIO","Albacore tuna Indian Ocean","IOTC-ALBAIO-1950-2020-SMITH","IOTC","SPASM","multinational","Indian Ocean","Indian Ocean","Scombridae","Thunnus alalunga","Albacore tuna"
"ALBAMED","Albacore tuna Mediterranean Sea","ICCAT-ALBAMED-1950-2020-LAWSON","ICCAT","BSPM","multinational","Mediterranean-Black Sea","Mediterranean Sea","Scombridae","Thunnus alalunga","Albacore tuna"
"ALBANATL","Albacore tuna Northern Atlantic","ICCAT-ALBANATL-1930-2016-PONS","ICCAT","MULTIFAN-CL","multinational","Atlantic Ocean","Northern Atlantic","Scombridae","Thunnus alalunga","Albacore tuna"
"ALBANPAC","Albacore tuna North Pacific Ocean","ISC-ALBANPAC-1936-2020-LAWSON","ISC","SS3","multinational","Pacific Ocean","North Pacific Ocean","Scombridae","Thunnus alalunga","Albacore tuna"
"ALBASATL","Albacore tuna South Atlantic","ICCAT-ALBASATL-1956-2018-PONS","ICCAT","ASPIC","multinational","Atlantic Ocean","South Atlantic","Scombridae","Thunnus alalunga","Albacore tuna"
"ALBASPAC","Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1952-2020-SMITH","SPC","MULTIFAN-CL","multinational","Pacific Ocean","South Pacific Ocean","Scombridae","Thunnus alalunga","Albacore tuna"
"ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1974-2021-SISIMP2022","AFSC","SCA","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Pleuronectes quadrituberculatus","Alaska plaice"
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Arhynchobatidae","Bathyraja parmifera","Alaska skate"
"AMPL23K","American plaice Labrador - NE Newfoundland","DFO-AMPL23K-1960-2012-WATSON","DFO","Unknown","Canada","Canada East Coast","Labrador - NE Newfoundland","Pleuronectidae","Hippoglossoides platessoides","American plaice"
"AMPL3LNO","American plaice Grand Banks","NAFO-SC-AMPL3LNO-1955-2007-BAUM","NAFO-SC","VPA","multinational","Canada East Coast","Grand Banks","Pleuronectidae","Hippoglossoides platessoides","American plaice"
"AMPL3M","American plaice Flemish Cap","NAFO-SC-AMPL3M-1960-2007-BAUM","NAFO-SC","XSA","multinational","Canada East Coast","Flemish Cap","Pleuronectidae","Hippoglossoides platessoides","American plaice"
"AMPL3Ps","American plaice St. Pierre Bank","DFO-AMPL3Ps-1960-2013-WATSON","DFO","BSPM","Canada","Canada East Coast","St. Pierre Bank","Pleuronectidae","Hippoglossoides platessoides","American plaice"
"AMPL4T","American plaice Southern Gulf of St. Lawrence","DFO-SG-AMPL4T-1960-2016-ASHBROOK","DFO-SG","VPA","Canada","Canada East Coast","Southern Gulf of St. Lawrence","Pleuronectidae","Hippoglossoides platessoides","American plaice"
"AMPL4VWX","American plaice Scotian Shelf and Bay of Fundy","DFO-AMPL4VWX-1961-2010-WATSON","DFO","Unknown","Canada","Canada East Coast","Scotian Shelf and Bay of Fundy","Pleuronectidae","Hippoglossoides platessoides","American plaice"
"AMPL5YZ","American plaice Gulf of Maine / Georges Bank","NEFSC-AMPL5YZ-1979-2021-SISIMP2024","NEFSC","Unknown","USA","US East Coast","Gulf of Maine / Georges Bank","Pleuronectidae","Hippoglossoides platessoides","American plaice"
"ANCHIXa","Anchovy Portugese Waters -East","WGHANSA-ANCHIXa-1989-2021-ICESIMP2021-2","WGHANSA","Unknown","multinational","European Union","Portugese Waters -East","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHMEDGSA1","Anchovy Northern Alboran Sea","STECF-ANCHMEDGSA1-2002-2009-OSIO","STECF","XSA","multinational","Mediterranean-Black Sea","Northern Alboran Sea","Engraulidae","Engraulis encrasicolus","Anchovy"
"ANCHMEDGSA16","Anchovy South of Sicily","WGSASP-ANCHMEDGSA16-2005-2021-HIVELY","WGSASP","a4a","multinational","Mediterranean-Black Sea","South of Sicily","Engraulidae","Engraulis encrasicolus","Anchovy"
