"comm_name","species","class","order","family","genus"
"Green sturgeon","Acipenser medirostris","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser"
"White sturgeon","Acipenser transmontanus","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser"
"Bonefish","Albula vulpes","Actinopterygii","Albuliformes","Albulidae","Albula"
"Hardtail conger","Gnathophis cinctus","Actinopterygii","Anguilliformes","Congridae","Gnathophis"
"California moray","Gymnothorax mordax","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Slender snipe eel","Nemichthys scolopaceus","Actinopterygii","Anguilliformes","Nemichthyidae","Nemichthys"
"Pacific worm eel","Myrophis vafer","Actinopterygii","Anguilliformes","Ophichthidae","Myrophis"
"Pacific snake eel","Ophichthus triserialis","Actinopterygii","Anguilliformes","Ophichthidae","Ophichthus"
"Yellow snake eel","Ophichthus zophochir","Actinopterygii","Anguilliformes","Ophichthidae","Ophichthus"
"Topsmelt silverside","Atherinops affinis","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinops"
"Jack silverside","Atherinopsis californiensis","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsis"
"California grunion","Leuresthes tenuis","Actinopterygii","Atheriniformes","Atherinopsidae","Leuresthes"
"Long snouted lancetfish","Alepisaurus ferox","Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus"
"Daggertooth","Anotopterus pharao","Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus"
"Slender barracudina","Lestidiops ringens","Actinopterygii","Aulopiformes","Paralepididae","Lestidiops"
"Northern pearleye","Benthalbella dentata","Actinopterygii","Aulopiformes","Scopelarchidae","Benthalbella"
"California lizardfish","Synodus lucioceps","Actinopterygii","Aulopiformes","Synodontidae","Synodus"
"Specklefin midshipman","Porichthys myriaster","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys"
"Plainfin midshipman","Porichthys notatus","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys"
"Californian needlefish","Strongylura exilis","Actinopterygii","Beloniformes","Belonidae","Strongylura"
"Mediterranean flyingfish","Cheilopogon heterurus","Actinopterygii","Beloniformes","Exocoetidae","Cheilopogon"
"California flyingfish","Cheilopogon pinnatibarbatus californicus","Actinopterygii","Beloniformes","Exocoetidae","Cheilopogon"
"Sharpchin flyingfish","Fodiator acutus","Actinopterygii","Beloniformes","Exocoetidae","Fodiator"
"Black wing flyingfish","Hirundichthys rondeletii","Actinopterygii","Beloniformes","Exocoetidae","Hirundichthys"
"Ribbon halfbeak","Euleptorhamphus viridis","Actinopterygii","Beloniformes","Hemiramphidae","Euleptorhamphus"
"Longfin halfbeak","Hemiramphus saltator","Actinopterygii","Beloniformes","Hemiramphidae","Hemiramphus"
"California halfbeak","Hyporhamphus rosae","Actinopterygii","Beloniformes","Hemiramphidae","Hyporhamphus"
"Common halfbeak","Hyporhamphus unifasciatus","Actinopterygii","Beloniformes","Hemiramphidae","Hyporhamphus"
"Pacific saury","Cololabis saira","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis"
"American shad","Alosa sapidissima","Actinopterygii","Clupeiformes","Clupeidae","Alosa"
"Pacific herring","Clupea pallasii pallasii","Actinopterygii","Clupeiformes","Clupeidae","Clupea"
"Threadfin shad","Dorosoma petenense","Actinopterygii","Clupeiformes","Clupeidae","Dorosoma"
"Pacific flatiron herring","Harengula thrissina","Actinopterygii","Clupeiformes","Clupeidae","Harengula"
"Middling thread herring","Opisthonema medirastre","Actinopterygii","Clupeiformes","Clupeidae","Opisthonema"
"South american pilchard","Sardinops sagax","Actinopterygii","Clupeiformes","Clupeidae","Sardinops"
"Red-eye round herring","Etrumeus sadina","Actinopterygii","Clupeiformes","Dussumieriidae","Etrumeus"
"Deep body anchovy","Anchoa compressa","Actinopterygii","Clupeiformes","Engraulidae","Anchoa"
"Slough anchovy","Anchoa delicatissima","Actinopterygii","Clupeiformes","Engraulidae","Anchoa"
"Pacific anchoveta","Cetengraulis mysticetus","Actinopterygii","Clupeiformes","Engraulidae","Cetengraulis"
"Californian anchovy","Engraulis mordax","Actinopterygii","Clupeiformes","Engraulidae","Engraulis"
"California killifish","Fundulus parvipinnis","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus"
"Machete","Elops affinis","Actinopterygii","Elopiformes","Elopidae","Elops"
"Pacific cod","Gadus macrocephalus","Actinopterygii","Gadiformes","Gadidae","Gadus"
"Pacific tomcod","Microgadus proximus","Actinopterygii","Gadiformes","Gadidae","Microgadus"
"Pacific grenadier","Coryphaenoides acrolepis","Actinopterygii","Gadiformes","Macrouridae","Coryphaenoides"
"California grenadier","Nezumia stelgidolepis","Actinopterygii","Gadiformes","Macrouridae","Nezumia"
"North pacific hake","Merluccius productus","Actinopterygii","Gadiformes","Merlucciidae","Merluccius"
"Finescale mora","Antimora microlepis","Actinopterygii","Gadiformes","Moridae","Antimora"
"Hundred fathom mora","Physiculus rastrelliger","Actinopterygii","Gadiformes","Moridae","Physiculus"
"Tube-snout","Aulorhynchus flavidus","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus"
"Three-spined stickleback","Gasterosteus aculeatus","Actinopterygii","Gasterosteiformes","Gasterosteidae","Gasterosteus"
"Lined clingfish","Gobiesox eugrammus","Actinopterygii","Gobiesociformes","Gobiesocidae","Gobiesox"
"Northern clingfish","Gobiesox maeandricus","Actinopterygii","Gobiesociformes","Gobiesocidae","Gobiesox"
"Bearded clingfish","Gobiesox papillifer","Actinopterygii","Gobiesociformes","Gobiesocidae","Gobiesox"
"California clingfish","Gobiesox rhessodon","Actinopterygii","Gobiesociformes","Gobiesocidae","Gobiesox"
"Southern clingfish","Rimicola dimorpha","Actinopterygii","Gobiesociformes","Gobiesocidae","Rimicola"
"Slender clingfish","Rimicola eigenmanni","Actinopterygii","Gobiesociformes","Gobiesocidae","Rimicola"
"Kelp clingfish","Rimicola muscarum","Actinopterygii","Gobiesociformes","Gobiesocidae","Rimicola"
"Opah","Lampris guttatus","Actinopterygii","Lampriformes","Lampridae","Lampris"
"Crested oarfish","Lophotus lacepede","Actinopterygii","Lampriformes","Lophotidae","Lophotus"
"King of herrings","Regalecus glesne","Actinopterygii","Lampriformes","Regalecidae","Regalecus"
"Polka-dot ribbonfish","Desmodema polystictum","Actinopterygii","Lampriformes","Trachipteridae","Desmodema"
"King-of-the-salmon","Trachipterus altivelis","Actinopterygii","Lampriformes","Trachipteridae","Trachipterus"
"Tapertail ribbonfish","Trachipterus fukuzakii","Actinopterygii","Lampriformes","Trachipteridae","Trachipterus"
"Scalloped ribbonfish","Zu cristatus","Actinopterygii","Lampriformes","Trachipteridae","Zu"
"Roughbar frogfish","Fowlerichthys avalonis","Actinopterygii","Lophiiformes","Antennariidae","Fowlerichthys"
"Triplewart seadevil","Cryptopsaras couesii","Actinopterygii","Lophiiformes","Ceratiidae","Cryptopsaras"
"Roundel batfish","Zalieutes elater","Actinopterygii","Lophiiformes","Ogcocephalidae","Zalieutes"
"Flathead grey mullet","Mugil cephalus","Actinopterygii","Mugiliformes","Mugilidae","Mugil"
"California headlightfish","Diaphus theta","Actinopterygii","Myctophiformes","Myctophidae","Diaphus"
"Broadfin lampfish","Nannobrachium ritteri","Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium"
"California flashlightfish","Protomyctophum crockeri","Actinopterygii","Myctophiformes","Myctophidae","Protomyctophum"
"Northern lampfish","Stenobrachius leucopsarus","Actinopterygii","Myctophiformes","Myctophidae","Stenobrachius"
"Bigfin lanternfish","Symbolophorus californiensis","Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus"
"Blue lanternfish","Tarletonbeania crenularis","Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania"
"Mexican lampfish","Triphoturus mexicanus","Actinopterygii","Myctophiformes","Myctophidae","Triphoturus"
"Red brotula","Brosmophycis marginata","Actinopterygii","Ophidiiformes","Bythitidae","Brosmophycis"
"Purple brotula","Grammonus diagrammus","Actinopterygii","Ophidiiformes","Bythitidae","Grammonus"
"Spotted cusk-eel","Chilara taylori","Actinopterygii","Ophidiiformes","Ophidiidae","Chilara"
"Basketweave cusk-eel","Ophidion scrippsae","Actinopterygii","Ophidiiformes","Ophidiidae","Ophidion"
"California slickhead","Alepocephalus tenebrosus","Actinopterygii","Osmeriformes","Alepocephalidae","Alepocephalus"
"North-pacific argentine","Argentina sialis","Actinopterygii","Osmeriformes","Argentinidae","Argentina"
"Snubnose blacksmelt","Bathylagoides wesethi","Actinopterygii","Osmeriformes","Bathylagidae","Bathylagoides"
"Slender blacksmelt","Bathylagus pacificus","Actinopterygii","Osmeriformes","Bathylagidae","Bathylagus"
"California smoothtongue","Leuroglossus stilbius","Actinopterygii","Osmeriformes","Bathylagidae","Leuroglossus"
"Eared blacksmelt","Lipolagus ochotensis","Actinopterygii","Osmeriformes","Bathylagidae","Lipolagus"
"Stout blacksmelt","Pseudobathylagus milleri","Actinopterygii","Osmeriformes","Bathylagidae","Pseudobathylagus"
"Barreleye","Macropinna microstoma","Actinopterygii","Osmeriformes","Opisthoproctidae","Macropinna"
"Whitebait smelt","Allosmerus elongatus","Actinopterygii","Osmeriformes","Osmeridae","Allosmerus"
"Surf smelt","Hypomesus pretiosus","Actinopterygii","Osmeriformes","Osmeridae","Hypomesus"
"Delta smelt","Hypomesus transpacificus","Actinopterygii","Osmeriformes","Osmeridae","Hypomesus"
"Night smelt","Spirinchus starksi","Actinopterygii","Osmeriformes","Osmeridae","Spirinchus"
"Longfin smelt","Spirinchus thaleichthys","Actinopterygii","Osmeriformes","Osmeridae","Spirinchus"
"Eulachon","Thaleichthys pacificus","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys"
"Pacific sand lance","Ammodytes hexapterus","Actinopterygii","Perciformes","Ammodytidae","Ammodytes"
"Wolf-eel","Anarrhichthys ocellatus","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys"
"Guadalupe cardinalfish","Apogon guadalupensis","Actinopterygii","Perciformes","Apogonidae","Apogon"
"Rough ronquil","Rathbunella alleni","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella"
"Smooth ronquil","Rathbunella hypoplecta","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella"
"Northern ronquil","Ronquilus jordani","Actinopterygii","Perciformes","Bathymasteridae","Ronquilus"
"Bay blenny","Hypsoblennius gentilis","Actinopterygii","Perciformes","Blenniidae","Hypsoblennius"
"Rockpool blenny","Hypsoblennius gilberti","Actinopterygii","Perciformes","Blenniidae","Hypsoblennius"
"Mussel blenny","Hypsoblennius jenkinsi","Actinopterygii","Perciformes","Blenniidae","Hypsoblennius"
"Pacific pomfret","Brama japonica","Actinopterygii","Perciformes","Bramidae","Brama"
"Bigtooth pomfret","Brama orcini","Actinopterygii","Perciformes","Bramidae","Brama"
"Pacific fanfish","Pteraclis aesticola","Actinopterygii","Perciformes","Bramidae","Pteraclis"
"Spotted fanfish","Pteraclis velifera","Actinopterygii","Perciformes","Bramidae","Pteraclis"
"Rough pomfret","Taractes asper","Actinopterygii","Perciformes","Bramidae","Taractes"
"Big-scale pomfret","Taractichthys longipinnis","Actinopterygii","Perciformes","Bramidae","Taractichthys"
"Sickle pomfret","Taractichthys steindachneri","Actinopterygii","Perciformes","Bramidae","Taractichthys"
"Green jack","Caranx caballus","Actinopterygii","Perciformes","Carangidae","Caranx"
"Crevalle jack","Caranx hippos","Actinopterygii","Perciformes","Carangidae","Caranx"
"Pacific bumper","Chloroscombrus orqueta","Actinopterygii","Perciformes","Carangidae","Chloroscombrus"
"Amberstripe scad","Decapterus muroadsi","Actinopterygii","Perciformes","Carangidae","Decapterus"
"Pilotfish","Naucrates ductor","Actinopterygii","Perciformes","Carangidae","Naucrates"
"Leatherjacket","Oligoplites saurus","Actinopterygii","Perciformes","Carangidae","Oligoplites"
"Peruvian moonfish","Selene peruviana","Actinopterygii","Perciformes","Carangidae","Selene"
"Yellowtail amberjack","Seriola lalandi","Actinopterygii","Perciformes","Carangidae","Seriola"
"Longfin yellowtail","Seriola rivoliana","Actinopterygii","Perciformes","Carangidae","Seriola"
"Paloma pompano","Trachinotus paitensis","Actinopterygii","Perciformes","Carangidae","Trachinotus"
"Gafftopsail pompano","Trachinotus rhodopus","Actinopterygii","Perciformes","Carangidae","Trachinotus"
"Pacific jack mackerel","Trachurus symmetricus","Actinopterygii","Perciformes","Carangidae","Trachurus"
"Cottonmouth jack","Uraspis secunda","Actinopterygii","Perciformes","Carangidae","Uraspis"
"Medusafish","Icichthys lockingtoni","Actinopterygii","Perciformes","Centrolophidae","Icichthys"
"Orangethroat pikeblenny","Chaenopsis alepidota","Actinopterygii","Perciformes","Chaenopsidae","Chaenopsis"
"Sarcastic fringehead","Neoclinus blanchardi","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus"
"Yellowfin fringehead","Neoclinus stephensae","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus"
"Onespot fringehead","Neoclinus uninotatus","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus"
"Threebanded butterflyfish","Chaetodon humeralis","Actinopterygii","Perciformes","Chaetodontidae","Chaetodon"
"Scythemarked butterflyfish","Prognathodes falcifer","Actinopterygii","Perciformes","Chaetodontidae","Prognathodes"
"Spotted kelpfish","Gibbonsia elegans","Actinopterygii","Perciformes","Clinidae","Gibbonsia"
"Striped kelpfish","Gibbonsia metzi","Actinopterygii","Perciformes","Clinidae","Gibbonsia"
"Crevice kelpfish","Gibbonsia montereyensis","Actinopterygii","Perciformes","Clinidae","Gibbonsia"
"Giant kelpfish","Heterostichus rostratus","Actinopterygii","Perciformes","Clinidae","Heterostichus"
"Common dolphinfish","Coryphaena hippurus","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena"
"Dwarf wrymouth","Cryptacanthodes aleutensis","Actinopterygii","Perciformes","Cryptacanthodidae","Cryptacanthodes"
"Giant wrymouth","Cryptacanthodes giganteus","Actinopterygii","Perciformes","Cryptacanthodidae","Cryptacanthodes"
"Live sharksucker","Echeneis naucrates","Actinopterygii","Perciformes","Echeneidae","Echeneis"
"Slender suckerfish","Phtheirichthys lineatus","Actinopterygii","Perciformes","Echeneidae","Phtheirichthys"
"White suckerfish","Remora albescens","Actinopterygii","Perciformes","Echeneidae","Remora"
