"comm_name","species","class","order","family","genus"
"Whalesucker","Remora australis","Actinopterygii","Perciformes","Echeneidae","Remora"
"Spearfish remora","Remora brachyptera","Actinopterygii","Perciformes","Echeneidae","Remora"
"Marlin sucker","Remora osteochir","Actinopterygii","Perciformes","Echeneidae","Remora"
"Shark sucker","Remora remora","Actinopterygii","Perciformes","Echeneidae","Remora"
"Pacific fat sleeper","Dormitator latifrons","Actinopterygii","Perciformes","Eleotridae","Dormitator"
"Barred surfperch","Amphistichus argenteus","Actinopterygii","Perciformes","Embiotocidae","Amphistichus"
"Calico surfperch","Amphistichus koelzi","Actinopterygii","Perciformes","Embiotocidae","Amphistichus"
"Redtail surfperch","Amphistichus rhodoterus","Actinopterygii","Perciformes","Embiotocidae","Amphistichus"
"Kelp perch","Brachyistius frenatus","Actinopterygii","Perciformes","Embiotocidae","Brachyistius"
"Shiner perch","Cymatogaster aggregata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster"
"Black perch","Embiotoca jacksoni","Actinopterygii","Perciformes","Embiotocidae","Embiotoca"
"Striped seaperch","Embiotoca lateralis","Actinopterygii","Perciformes","Embiotocidae","Embiotoca"
"Spotfin surfperch","Hyperprosopon anale","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon"
"Walleye surfperch","Hyperprosopon argenteum","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon"
"Silver surfperch","Hyperprosopon ellipticum","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon"
"Rainbow seaperch","Hypsurus caryi","Actinopterygii","Perciformes","Embiotocidae","Hypsurus"
"Reef perch","Micrometrus aurora","Actinopterygii","Perciformes","Embiotocidae","Micrometrus"
"Dwarf perch","Micrometrus minimus","Actinopterygii","Perciformes","Embiotocidae","Micrometrus"
"Sharpnose seaperch","Phanerodon atripes","Actinopterygii","Perciformes","Embiotocidae","Phanerodon"
"White seaperch","Phanerodon furcatus","Actinopterygii","Perciformes","Embiotocidae","Phanerodon"
"Rubberlip seaperch","Rhacochilus toxotes","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus"
"Pile perch","Rhacochilus vacca","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus"
"Pink seaperch","Zalembius rosaceus","Actinopterygii","Perciformes","Embiotocidae","Zalembius"
"Pacific spadefish","Chaetodipterus zonatus","Actinopterygii","Perciformes","Ephippidae","Chaetodipterus"
"Snake mackerel","Gempylus serpens","Actinopterygii","Perciformes","Gempylidae","Gempylus"
"Oilfish","Ruvettus pretiosus","Actinopterygii","Perciformes","Gempylidae","Ruvettus"
"Silver mojarra","Eucinostomus argenteus","Actinopterygii","Perciformes","Gerreidae","Eucinostomus"
"Graceful mojarra","Eucinostomus gracilis","Actinopterygii","Perciformes","Gerreidae","Eucinostomus"
"Yellowfin goby","Acanthogobius flavimanus","Actinopterygii","Perciformes","Gobiidae","Acanthogobius"
"Arrow goby","Clevelandia ios","Actinopterygii","Perciformes","Gobiidae","Clevelandia"
"Longtail goby","Ctenogobius sagittula","Actinopterygii","Perciformes","Gobiidae","Ctenogobius"
"Tidewater goby","Eucyclogobius newberryi","Actinopterygii","Perciformes","Gobiidae","Eucyclogobius"
"Longjaw mudsucker","Gillichthys mirabilis","Actinopterygii","Perciformes","Gobiidae","Gillichthys"
"Cheekspot goby","Ilypnus gilberti","Actinopterygii","Perciformes","Gobiidae","Ilypnus"
"Bay goby","Lepidogobius lepidus","Actinopterygii","Perciformes","Gobiidae","Lepidogobius"
"Halfblind goby","Lethops connectens","Actinopterygii","Perciformes","Gobiidae","Lethops"
"Bluebanded goby","Lythrypnus dalli","Actinopterygii","Perciformes","Gobiidae","Lythrypnus"
"Zebra goby","Lythrypnus zebra","Actinopterygii","Perciformes","Gobiidae","Lythrypnus"
"American shadow goby","Quietula y-cauda","Actinopterygii","Perciformes","Gobiidae","Quietula"
"Blackeye goby","Rhinogobiops nicholsii","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops"
"Chameleon goby","Tridentiger trigonocephalus","Actinopterygii","Perciformes","Gobiidae","Tridentiger"
"Blind goby","Typhlogobius californiensis","Actinopterygii","Perciformes","Gobiidae","Typhlogobius"
"Xantic sargo","Anisotremus davidsonii","Actinopterygii","Perciformes","Haemulidae","Anisotremus"
"Californian salema","Haemulon californiensis","Actinopterygii","Perciformes","Haemulidae","Haemulon"
"Ragfish","Icosteus aenigmaticus","Actinopterygii","Perciformes","Icosteidae","Icosteus"
"Black marlin","Istiompax indica","Actinopterygii","Perciformes","Istiophoridae","Istiompax"
"Indo-pacific sailfish","Istiophorus platypterus","Actinopterygii","Perciformes","Istiophoridae","Istiophorus"
"Striped marlin","Kajikia audax","Actinopterygii","Perciformes","Istiophoridae","Kajikia"
"Blue marlin","Makaira nigricans","Actinopterygii","Perciformes","Istiophoridae","Makaira"
"Shortbill spearfish","Tetrapturus angustirostris","Actinopterygii","Perciformes","Istiophoridae","Tetrapturus"
"Opaleye","Girella nigricans","Actinopterygii","Perciformes","Kyphosidae","Girella"
"Halfmoon","Medialuna californiensis","Actinopterygii","Perciformes","Kyphosidae","Medialuna"
"Rock wrasse","Halichoeres semicinctus","Actinopterygii","Perciformes","Labridae","Halichoeres"
"Señorita","Oxyjulis californica","Actinopterygii","Perciformes","Labridae","Oxyjulis"
"California sheephead","Semicossyphus pulcher","Actinopterygii","Perciformes","Labridae","Semicossyphus"
"Island kelpfish","Alloclinus holderi","Actinopterygii","Perciformes","Labrisomidae","Alloclinus"
"Deep-water blenny","Cryptotrema corallinum","Actinopterygii","Perciformes","Labrisomidae","Cryptotrema"
"Reef finspot","Paraclinus integripinnis","Actinopterygii","Perciformes","Labrisomidae","Paraclinus"
"Luvar","Luvarus imperialis","Actinopterygii","Perciformes","Luvaridae","Luvarus"
"Ocean whitefish","Caulolatilus princeps","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus"
"Striped bass","Morone saxatilis","Actinopterygii","Perciformes","Moronidae","Morone"
"Mexican goatfish","Mulloidichthys dentatus","Actinopterygii","Perciformes","Mullidae","Mulloidichthys"
"Roosterfish","Nematistius pectoralis","Actinopterygii","Perciformes","Nematistiidae","Nematistius"
"Pelagic armourhead","Pentaceros richardsoni","Actinopterygii","Perciformes","Pentacerotidae","Pentaceros"
"Penpoint gunnel","Apodichthys flavidus","Actinopterygii","Perciformes","Pholidae","Apodichthys"
"Rockweed gunnel","Apodichthys fucorum","Actinopterygii","Perciformes","Pholidae","Apodichthys"
"Crescent gunnel","Pholis laeta","Actinopterygii","Perciformes","Pholidae","Pholis"
"Saddleback gunnel","Pholis ornata","Actinopterygii","Perciformes","Pholidae","Pholis"
"Red gunnel","Pholis schultzi","Actinopterygii","Perciformes","Pholidae","Pholis"
"Kelp gunnel","Ulvicola sanctaerosae","Actinopterygii","Perciformes","Pholidae","Ulvicola"
"Blue bobo","Polydactylus approximans","Actinopterygii","Perciformes","Polynemidae","Polydactylus"
"Yellow bobo","Polydactylus opercularis","Actinopterygii","Perciformes","Polynemidae","Polydactylus"
"Giant seabass","Stereolepis gigas","Actinopterygii","Perciformes","Polyprionidae","Stereolepis"
"Blacksmith","Chromis punctipinnis","Actinopterygii","Perciformes","Pomacentridae","Chromis"
"Garibaldi damselfish","Hypsypops rubicundus","Actinopterygii","Perciformes","Pomacentridae","Hypsypops"
"Popeye catalufa","Pristigenys serrula","Actinopterygii","Perciformes","Priacanthidae","Pristigenys"
"White weakfish","Atractoscion nobilis","Actinopterygii","Perciformes","Sciaenidae","Atractoscion"
"Ronco croaker","Bairdiella icistia","Actinopterygii","Perciformes","Sciaenidae","Bairdiella"
"Black croaker","Cheilotrema saturnum","Actinopterygii","Perciformes","Sciaenidae","Cheilotrema"
"Shortfin weakfish","Cynoscion parvipinnis","Actinopterygii","Perciformes","Sciaenidae","Cynoscion"
"Orangemouth weakfish","Cynoscion xanthulus","Actinopterygii","Perciformes","Sciaenidae","Cynoscion"
"White croaker","Genyonemus lineatus","Actinopterygii","Perciformes","Sciaenidae","Genyonemus"
"California kingcroaker","Menticirrhus undulatus","Actinopterygii","Perciformes","Sciaenidae","Menticirrhus"
"Spotfin croaker","Roncador stearnsii","Actinopterygii","Perciformes","Sciaenidae","Roncador"
"Queen croaker","Seriphus politus","Actinopterygii","Perciformes","Sciaenidae","Seriphus"
"Yellowfin drum","Umbrina roncador","Actinopterygii","Perciformes","Sciaenidae","Umbrina"
"Slender tuna","Allothunnus fallai","Actinopterygii","Perciformes","Scombridae","Allothunnus"
"Bullet tuna","Auxis rochei","Actinopterygii","Perciformes","Scombridae","Auxis"
"Frigate tuna","Auxis thazard","Actinopterygii","Perciformes","Scombridae","Auxis"
"Kawakawa","Euthynnus affinis","Actinopterygii","Perciformes","Scombridae","Euthynnus"
"Black skipjack","Euthynnus lineatus","Actinopterygii","Perciformes","Scombridae","Euthynnus"
"Skipjack tuna","Katsuwonus pelamis","Actinopterygii","Perciformes","Scombridae","Katsuwonus"
"Eastern pacific bonito","Sarda chiliensis","Actinopterygii","Perciformes","Scombridae","Sarda"
"Chub mackerel","Scomber japonicus","Actinopterygii","Perciformes","Scombridae","Scomber"
"Monterey spanish mackerel","Scomberomorus concolor","Actinopterygii","Perciformes","Scombridae","Scomberomorus"
"Pacific sierra","Scomberomorus sierra","Actinopterygii","Perciformes","Scombridae","Scomberomorus"
"Albacore","Thunnus alalunga","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Yellowfin tuna","Thunnus albacares","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Bigeye tuna","Thunnus obesus","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Atlantic bluefin tuna","Thunnus thynnus","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Graveldiver","Scytalina cerdale","Actinopterygii","Perciformes","Scytalinidae","Scytalina"
"Spotted grouper","Epinephelus analogus","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Splittail bass","Hemanthias peruanus","Actinopterygii","Perciformes","Serranidae","Hemanthias"
"Snowy grouper","Hyporthodus niveatus","Actinopterygii","Perciformes","Serranidae","Hyporthodus"
"Gulf grouper","Mycteroperca jordani","Actinopterygii","Perciformes","Serranidae","Mycteroperca"
"Broomtail grouper","Mycteroperca xenarcha","Actinopterygii","Perciformes","Serranidae","Mycteroperca"
"Kelp bass","Paralabrax clathratus","Actinopterygii","Perciformes","Serranidae","Paralabrax"
"Spotted sand bass","Paralabrax maculatofasciatus","Actinopterygii","Perciformes","Serranidae","Paralabrax"
"Barred sand bass","Paralabrax nebulifer","Actinopterygii","Perciformes","Serranidae","Paralabrax"
"Pacific porgy","Calamus brachysomus","Actinopterygii","Perciformes","Sparidae","Calamus"
"Pacific barracuda","Sphyraena argentea","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"High cockscomb","Anoplarchus purpurescens","Actinopterygii","Perciformes","Stichaeidae","Anoplarchus"
"Monkeyface prickleback","Cebidichthys violaceus","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys"
"Mosshead warbonnet","Chirolophis nugator","Actinopterygii","Perciformes","Stichaeidae","Chirolophis"
"Snake prickleback","Lumpenus sagitta","Actinopterygii","Perciformes","Stichaeidae","Lumpenus"
"Ribbon prickleback","Phytichthys chirus","Actinopterygii","Perciformes","Stichaeidae","Phytichthys"
"Crisscross prickleback","Plagiogrammus hopkinsii","Actinopterygii","Perciformes","Stichaeidae","Plagiogrammus"
"Bluebarred prickleback","Plectobranchus evides","Actinopterygii","Perciformes","Stichaeidae","Plectobranchus"
"Whitebarred prickleback","Poroclinus rothrocki","Actinopterygii","Perciformes","Stichaeidae","Poroclinus"
"Black prickleback","Xiphister atropurpureus","Actinopterygii","Perciformes","Stichaeidae","Xiphister"
"Rock prickleback","Xiphister mucosus","Actinopterygii","Perciformes","Stichaeidae","Xiphister"
"Pacific pompano","Peprilus simillimus","Actinopterygii","Perciformes","Stromateidae","Peprilus"
"Smalleye squaretail","Tetragonurus cuvieri","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus"
"Razorback scabbardfish","Assurger anzac","Actinopterygii","Perciformes","Trichiuridae","Assurger"
"Silver scabbardfish","Lepidopus caudatus","Actinopterygii","Perciformes","Trichiuridae","Lepidopus"
"Largehead hairtail","Trichiurus lepturus","Actinopterygii","Perciformes","Trichiuridae","Trichiurus"
"Pacific sandfish","Trichodon trichodon","Actinopterygii","Perciformes","Trichodontidae","Trichodon"
"Smooth stargazer","Kathetostoma averruncus","Actinopterygii","Perciformes","Uranoscopidae","Kathetostoma"
"Swordfish","Xiphias gladius","Actinopterygii","Perciformes","Xiphiidae","Xiphias"
"Prowfish","Zaprora silenus","Actinopterygii","Perciformes","Zaproridae","Zaprora"
"Twoline eelpout","Bothrocara brunneum","Actinopterygii","Perciformes","Zoarcidae","Bothrocara"
"Soft eelpout","Bothrocara molle","Actinopterygii","Perciformes","Zoarcidae","Bothrocara"
"Snakehead eelpout","Lycenchelys crotalinus","Actinopterygii","Perciformes","Zoarcidae","Lycenchelys"
"Blackmouth eelpout","Lycodapus fierasfer","Actinopterygii","Perciformes","Zoarcidae","Lycodapus"
"Pallid eelpout","Lycodapus mandibularis","Actinopterygii","Perciformes","Zoarcidae","Lycodapus"
"Bigfin eelpout","Lycodes cortezianus","Actinopterygii","Perciformes","Zoarcidae","Lycodes"
"Black eelpout","Lycodes diapterus","Actinopterygii","Perciformes","Zoarcidae","Lycodes"
"Blackbelly eelpout","Lycodes pacificus","Actinopterygii","Perciformes","Zoarcidae","Lycodes"
