"comm_name","spcode","species","class","order","family","genus","taxa_yn"
"Blind goby","TYPCAL","Typhlogobius californiensis","Actinopterygii","Perciformes","Gobiidae","Typhlogobius","yes"
"Sargo","ANIDAV","Anisotremus davidsonii","Actinopterygii","Perciformes","Haemulidae","Anisotremus","yes"
"Burrito grunt","ANIINT","Anisotremus interruptus","Actinopterygii","Perciformes","Haemulidae","Anisotremus","yes"
"Striped marlin","TETAUD","Kajikia audax","Actinopterygii","Perciformes","Istiophoridae","Kajikia","yes"
"Opaleye","GIRNIG","Girella nigricans","Actinopterygii","Perciformes","Kyphosidae","Girella","yes"
"Halfmoon","MEDCAL","Medialuna californiensis","Actinopterygii","Perciformes","Kyphosidae","Medialuna","yes"
"Chameleon wrasse","HALDIS","Halichoeres dispilus","Actinopterygii","Perciformes","Labridae","Halichoeres","yes"
"Rock wrasse","HALSEM","Halichoeres semicinctus","Actinopterygii","Perciformes","Labridae","Halichoeres","yes"
"Senorita","OXYCAL","Oxyjulis californica","Actinopterygii","Perciformes","Labridae","Oxyjulis","yes"
"Island kelpfish","ALLHOL","Alloclinus holderi","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","yes"
"Sargassum blenny","EXEASP","Exerpes asper","Actinopterygii","Perciformes","Labrisomidae","Exerpes","yes"
"Reef finspot","PARINT","Paraclinus integripinnis","Actinopterygii","Perciformes","Labrisomidae","Paraclinus","yes"
"Louvar","LUVIMP","Luvarus imperialis","Actinopterygii","Perciformes","Luvaridae","Luvarus","yes"
"Ocean whitefish","CAUPRI","Caulolatilus princeps","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","yes"
"Striped bass","MORSAX","Morone saxatilis","Actinopterygii","Perciformes","Moronidae","Morone","yes"
"Mexican goatfish","MULDEN","Mulloidichthys dentatus","Actinopterygii","Perciformes","Mullidae","Mulloidichthys","yes"
"Penpoint gunnel","APOFLA","Apodichthys flavidus","Actinopterygii","Perciformes","Pholidae","Apodichthys","yes"
"Rockweed gunnel","APOFUC","Apodichthys fucorum","Actinopterygii","Perciformes","Pholidae","Apodichthys","yes"
"Saddleback gunnel","PHOORN","Pholis ornata","Actinopterygii","Perciformes","Pholidae","Pholis","yes"
"Giant sea bass","STEGIG","Stereolepis gigas","Actinopterygii","Perciformes","Polyprionidae","Stereolepis","yes"
"Panamic sergeant major","ABUTRO","Abudefduf troschelii","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","yes"
"Scissortail chromis","CHRATR","Chromis atrilobata","Actinopterygii","Perciformes","Pomacentridae","Chromis","yes"
"Blacksmith","CHRPUN","Chromis punctipinnis","Actinopterygii","Perciformes","Pomacentridae","Chromis","yes"
"Garibaldi","HYPRUB","Hypsypops rubicundus","Actinopterygii","Perciformes","Pomacentridae","Hypsypops","yes"
"Cortez gregory","STEREC","Stegastes rectifraenum","Actinopterygii","Perciformes","Pomacentridae","Stegastes","yes"
"White seabass","ATRNOB","Atractoscion nobilis","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","yes"
"Black croaker","CHESAT","Cheilotrema saturnum","Actinopterygii","Perciformes","Sciaenidae","Cheilotrema","yes"
"White croaker","GENLIN","Genyonemus lineatus","Actinopterygii","Perciformes","Sciaenidae","Genyonemus","yes"
"California corbina","MENUND","Menticirrhus undulatus","Actinopterygii","Perciformes","Sciaenidae","Menticirrhus","yes"
"Spotfin croaker","RONSTE","Roncador stearnsii","Actinopterygii","Perciformes","Sciaenidae","Roncador","yes"
"Queenfish","SERPOL","Seriphus politus","Actinopterygii","Perciformes","Sciaenidae","Seriphus","yes"
"Yellowfin croaker","UMBRON","Umbrina roncador","Actinopterygii","Perciformes","Sciaenidae","Umbrina","yes"
"Wahoo","ACASOL","Acanthocybium solandri","Actinopterygii","Perciformes","Scombridae","Acanthocybium","yes"
"Bullet mackerel","AUXROC","Auxis rochei","Actinopterygii","Perciformes","Scombridae","Auxis","yes"
"Skipjack tuna","KATPEL","Katsuwonus pelamis","Actinopterygii","Perciformes","Scombridae","Katsuwonus","yes"
"Pacific bonito","SARCHI","Sarda chiliensis","Actinopterygii","Perciformes","Scombridae","Sarda","yes"
"Pacific mackerel","SCOJAP","Scomber japonicus","Actinopterygii","Perciformes","Scombridae","Scomber","yes"
"Albacore","THUALA","Thunnus alalunga","Actinopterygii","Perciformes","Scombridae","Thunnus","yes"
"Yellowfin tuna","THUALB","Thunnus albacares","Actinopterygii","Perciformes","Scombridae","Thunnus","yes"
"Bigeye tuna","THUOBE","Thunnus obesus","Actinopterygii","Perciformes","Scombridae","Thunnus","yes"
"Bluefin tuna","THUTHY","Thunnus thynnus","Actinopterygii","Perciformes","Scombridae","Thunnus","yes"
"Graveldiver","SCYCER","Scytalina cerdale","Actinopterygii","Perciformes","Scytalinidae","Scytalina","yes"
"Kelp bass","PARCLA","Paralabrax clathratus","Actinopterygii","Perciformes","Serranidae","Paralabrax","yes"
"Spotted sand bass","PARMAC","Paralabrax maculatofasciatus","Actinopterygii","Perciformes","Serranidae","Paralabrax","yes"
"Barred sand bass","PARNEB","Paralabrax nebulifer","Actinopterygii","Perciformes","Serranidae","Paralabrax","yes"
"California barracuda","SPHARG","Sphyraena argentea","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","yes"
"Cortez barracuda","SPHLUC","Sphyraena lucasana","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","yes"
"Slender cockscomb","ANOINS","Anoplarchus insignis","Actinopterygii","Perciformes","Stichaeidae","Anoplarchus","yes"
"High cockscomb","ANOPUR","Anoplarchus purpurescens","Actinopterygii","Perciformes","Stichaeidae","Anoplarchus","yes"
"Monkeyface prickleback","CEBVIO","Cebidichthys violaceus","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys","yes"
"Mosshead warbonnet","CHINUG","Chirolophis nugator","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","yes"
"Crisscross prickleback","PLAHOP","Plagiogrammus hopkinsii","Actinopterygii","Perciformes","Stichaeidae","Plagiogrammus","yes"
"Black prickleback","XIPATR","Xiphister atropurpureus","Actinopterygii","Perciformes","Stichaeidae","Xiphister","yes"
"Rock prickleback","XIPMUC","Xiphister mucosus","Actinopterygii","Perciformes","Stichaeidae","Xiphister","yes"
"Pacific butterfish","PEPSIM","Peprilus simillimus","Actinopterygii","Perciformes","Stromateidae","Peprilus","yes"
"Swordfish","XIPGLA","Xiphias gladius","Actinopterygii","Perciformes","Xiphiidae","Xiphias","yes"
"Blackbelly eelpout","LYCPAC","Lycodes pacificus","Actinopterygii","Perciformes","Zoarcidae","Lycodes","yes"
"Mazatlan sole","ACHMAZ","Achirus mazatlanus","Actinopterygii","Pleuronectiformes","Achiridae","Achirus","yes"
"Pacific sanddab","CITSOR","Citharichthys sordidus","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","yes"
"Speckled sanddab","CITSTI","Citharichthys stigmaeus","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","yes"
"Longfin sanddab","CITXAN","Citharichthys xanthostigma","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","yes"
"Bigmouth sole","HIPSTO","Hippoglossina stomata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Hippoglossina","yes"
"California halibut","PARCAL","Paralichthys californicus","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","yes"
"Fantail sole","XYSLIO","Xystreurys liolepis","Actinopterygii","Pleuronectiformes","Paralichthyidae","Xystreurys","yes"
"Arrowtooth flounder","ATHSTO","Atheresthes stomias","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","yes"
"Petrale sole","EOPJOR","Eopsetta jordani","Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta","yes"
"Rex sole","GLYZAC","Glyptocephalus zachirus","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","yes"
"Diamond turbot","HYPGUT","Hypsopsetta guttulata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hypsopsetta","yes"
"Slender sole","LYOEXI","Lyopsetta exilis","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lyopsetta","yes"
"Dover sole","MICPAC","Microstomus pacificus","Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus","yes"
"English sole","PARVET","Parophrys vetulus","Actinopterygii","Pleuronectiformes","Pleuronectidae","Parophrys","yes"
"Starry flounder","PLASTE","Platichthys stellatus","Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys","yes"
"Co turbot","PLECOE","Pleuronichthys coenosus","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","yes"
"Curlfin turbot","PLEDEC","Pleuronichthys decurrens","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","yes"
"Spotted turbot","PLERIT","Pleuronichthys ritteri","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","yes"
"Hornyhead turbot","PLEVER","Pleuronichthys verticalis","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","yes"
"Rock sole","PSEMEL","Psettichthys melanostictus","Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys","yes"
"Steelhead trout","ONCMYK","Oncorhynchus mykiss","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","yes"
"Chinook salmon","ONCTSA","Oncorhynchus tshawytscha","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","yes"
"Pygmy poacher","ODOTRI","Odontopyxis trispinosa","Actinopterygii","Scorpaeniformes","Agonidae","Odontopyxis","yes"
"Pricklebreast poacher","STEXYO","Stellerina xyosterna","Actinopterygii","Scorpaeniformes","Agonidae","Stellerina","yes"
"Blacktip poacher","XENLAT","Xeneretmus latifrons","Actinopterygii","Scorpaeniformes","Agonidae","Xeneretmus","yes"
"Sablefish","ANOFIM","Anoplopoma fimbria","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","yes"
"Coralline sculpin","ARTCOR","Artedius corallinus","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","yes"
"Padded sculpin","ARTFEN","Artedius fenestralis","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","yes"
"Scalyhead sculpin","ARTHAR","Artedius harringtoni","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","yes"
"Smoothhead sculpin","ARTLAT","Artedius lateralis","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","yes"
"Bonyhead sculpin","ARTNOT","Artedius notospilotus","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","yes"
"Rosylip sculpin","ASCRHO","Ascelichthys rhodorus","Actinopterygii","Scorpaeniformes","Cottidae","Ascelichthys","yes"
"Roughback sculpin","CHIPUG","Chitonotus pugetensis","Actinopterygii","Scorpaeniformes","Cottidae","Chitonotus","yes"
"Sharpnose sculpin","CLIACU","Clinocottus acuticeps","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","yes"
"Wooly sculpin","CLIANA","Clinocottus analis","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","yes"
"Mosshead sculpin","CLIGLO","Clinocottus globiceps","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","yes"
"Bald sculpin","CLIREC","Clinocottus recalvus","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","yes"
"Buffalo sculpin","ENOBIS","Enophrys bison","Actinopterygii","Scorpaeniformes","Cottidae","Enophrys","yes"
"Brown irish lord","HEMSPI","Hemilepidotus spinosus","Actinopterygii","Scorpaeniformes","Cottidae","Hemilepidotus","yes"
"Yellowchin sculpin","ICEQUA","Icelinus quadriseriatus","Actinopterygii","Scorpaeniformes","Cottidae","Icelinus","yes"
"Longfin sculpin","JORZON","Jordania zonope","Actinopterygii","Scorpaeniformes","Cottidae","Jordania","yes"
"Lavender sculpin","LEIHIR","Leiocottus hirundo","Actinopterygii","Scorpaeniformes","Cottidae","Leiocottus","yes"
"Staghorn sculpin","LEPARM","Leptocottus armatus","Actinopterygii","Scorpaeniformes","Cottidae","Leptocottus","yes"
"Tidepool sculpin","OLIMAC","Oligocottus maculosus","Actinopterygii","Scorpaeniformes","Cottidae","Oligocottus","yes"
"Saddleback sculpin","OLIRIM","Oligocottus rimensis","Actinopterygii","Scorpaeniformes","Cottidae","Oligocottus","yes"
"Rosy sculpin","OLIRUB","Oligocottus rubellio","Actinopterygii","Scorpaeniformes","Cottidae","Oligocottus","yes"
"Fluffy sculpin","OLISNY","Oligocottus snyderi","Actinopterygii","Scorpaeniformes","Cottidae","Oligocottus","yes"
"Snubnose sculpin","ORTTRI","Orthonopias triacis","Actinopterygii","Scorpaeniformes","Cottidae","Orthonopias","yes"
"Roughcheek sculpin","RUSCRE","Ruscarius creaseri","Actinopterygii","Scorpaeniformes","Cottidae","Ruscarius","yes"
"Cabezon","SCOMAR","Scorpaenichthys marmoratus","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","yes"
"Silverspotted sculpin","BLECIR","Blepsias cirrhosus","Actinopterygii","Scorpaeniformes","Hemitripteridae","Blepsias","yes"
"Sailfin sculpin","NAUOCU","Nautichthys oculofasciatus","Actinopterygii","Scorpaeniformes","Hemitripteridae","Nautichthys","yes"
"Kelp greenling","HEXDEC","Hexagrammos decagrammus","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","yes"
"Rock greenling","HEXLAG","Hexagrammos lagocephalus","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","yes"
"Lingcod","OPHELO","Ophiodon elongatus","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","yes"
"Painted greenling","OXYPIC","Oxylebius pictus","Actinopterygii","Scorpaeniformes","Hexagrammidae","Oxylebius","yes"
"Shortspine combfish","ZANFRE","Zaniolepis frenata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Zaniolepis","yes"
"Longspine combfish","ZANLAT","Zaniolepis latipinnis","Actinopterygii","Scorpaeniformes","Hexagrammidae","Zaniolepis","yes"
"Tidepool snailfish","LIPFLO","Liparis florae","Actinopterygii","Scorpaeniformes","Liparidae","Liparis","yes"
"Slipskin snailfish","LIPFUC","Liparis fucensis","Actinopterygii","Scorpaeniformes","Liparidae","Liparis","yes"
"Spotted scorpionfish","SCOGUT","Scorpaena guttata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","yes"
"Kelp rockfish","SEBATR","Sebastes atrovirens","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Brown rockfish","SEBAUR","Sebastes auriculatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Aurora rockfish","SEBARO","Sebastes aurora","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Gopher rockfish","SEBCAR","Sebastes carnatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Copper rockfish","SEBCAU","Sebastes caurinus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Greenspotted rockfish","SEBCHL","Sebastes chlorostictus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Black and yellow rockfish","SEBCHR","Sebastes chrysomelas","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Starry rockfish","SEBCON","Sebastes constellatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Darkblotched rockfish","SEBCRA","Sebastes crameri","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Calico rockfish","SEBDAL","Sebastes dallii","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Splitnose rockfish","SEBDIP","Sebastes diploproa","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Greenstriped rockfish","SEBELO","Sebastes elongatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Swordspine rockfish","SEBENS","Sebastes ensifer","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Widow rockfish","SEBENT","Sebastes entomelas","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Yellowtail rockfish","SEBFLA","Sebastes flavidus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Bronzespotted rockfish","SEBGIL","Sebastes gilli","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Chillipepper rockfish","SEBGOO","Sebastes goodei","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Rosethorn rockfish","SEBHEL","Sebastes helvomaculatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Squarespot rockfish","SEBHOP","Sebastes hopkinsi","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Shortbelly rockfish","SEBJOR","Sebastes jordani","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
