"comm_name","spcode","species","class","order","family","genus","taxa_yn"
"California moray","GYMMOR","Gymnothorax mordax","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax","yes"
"Topsmelt","ATHAFF","Atherinops affinis","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinops","yes"
"Jacksmelt","ATHCAL","Atherinopsis californiensis","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsis","yes"
"California grunion","LEUTEN","Leuresthes tenuis","Actinopterygii","Atheriniformes","Atherinopsidae","Leuresthes","yes"
"California lizardfish","SYNLUC","Synodus lucioceps","Actinopterygii","Aulopiformes","Synodontidae","Synodus","yes"
"Specklefin midshipman","PORMYR","Porichthys myriaster","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys","yes"
"Plainfin midshipman","PORNOT","Porichthys notatus","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys","yes"
"California needlefish","STREXI","Strongylura exilis","Actinopterygii","Beloniformes","Belonidae","Strongylura","yes"
"California halfbeak","HYPROS","Hyporhamphus rosae","Actinopterygii","Beloniformes","Hemiramphidae","Hyporhamphus","yes"
"Pacific saury","COLSAI","Cololabis saira","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis","yes"
"American shad","ALOSAP","Alosa sapidissima","Actinopterygii","Clupeiformes","Clupeidae","Alosa","yes"
"Pacific herring","CLUPAL","Clupea harengus","Actinopterygii","Clupeiformes","Clupeidae","Clupea","yes"
"Threadfin shad","DORPET","Dorosoma petenense","Actinopterygii","Clupeiformes","Clupeidae","Dorosoma","yes"
"Pacific sardine","SARSAG","Sardinops sagax","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","yes"
"Deepbody anchovy","ANCCOM","Anchoa compressa","Actinopterygii","Clupeiformes","Engraulidae","Anchoa","yes"
"Slough anchovy","ANCDEL","Anchoa delicatissima","Actinopterygii","Clupeiformes","Engraulidae","Anchoa","yes"
"Northern anchovy","ENGMOR","Engraulis mordax","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","yes"
"Splittail","POGMAC","Pogonichthys macrolepidotus","Actinopterygii","Cypriniformes","Cyprinidae","Pogonichthys","yes"
"California killifish","FUNPAR","Fundulus parvipinnis","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus","yes"
"Mosquitofish","GAMAFF","Gambusia affinis","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia","yes"
"Pacific tomcod","MICPRO","Microgadus proximus","Actinopterygii","Gadiformes","Gadidae","Microgadus","yes"
"Giant grenadier","CORPEC","Albatrossia pectoralis","Actinopterygii","Gadiformes","Macrouridae","Albatrossia","yes"
"California rattail","NEZSTE","Nezumia stelgidolepis","Actinopterygii","Gadiformes","Macrouridae","Nezumia","yes"
"Pacific hake","MERPRO","Merluccius productus","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","yes"
"Hundred fathom codling","PHYRAS","Physiculus rastrelliger","Actinopterygii","Gadiformes","Moridae","Physiculus","yes"
"Tubesnout","AULFLA","Aulorhynchus flavidus","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","yes"
"Three-spine stickleback","GASACU","Gasterosteus aculeatus","Actinopterygii","Gasterosteiformes","Gasterosteidae","Gasterosteus","yes"
"Northern clingfish","GOBMAE","Gobiesox maeandricus","Actinopterygii","Gobiesociformes","Gobiesocidae","Gobiesox","yes"
"California clingfish","GOBRHE","Gobiesox rhessodon","Actinopterygii","Gobiesociformes","Gobiesocidae","Gobiesox","yes"
"Slender clingfish","RIMEIG","Rimicola eigenmanni","Actinopterygii","Gobiesociformes","Gobiesocidae","Rimicola","yes"
"Kelp clingfish","RIMMUS","Rimicola muscarum","Actinopterygii","Gobiesociformes","Gobiesocidae","Rimicola","yes"
"Striped mullet","MUGCEP","Mugil cephalus","Actinopterygii","Mugiliformes","Mugilidae","Mugil","yes"
"Red brotula","BROMAR","Brosmophycis marginata","Actinopterygii","Ophidiiformes","Bythitidae","Brosmophycis","yes"
"Slope brotula","CATRUB","Cataetyx rubrirostris","Actinopterygii","Ophidiiformes","Bythitidae","Cataetyx","yes"
"Spotted cuskeel","CHITAY","Chilara taylori","Actinopterygii","Ophidiiformes","Ophidiidae","Chilara","yes"
"Basketweave cuskeel","OPHSCR","Ophidion scrippsae","Actinopterygii","Ophidiiformes","Ophidiidae","Ophidion","yes"
"California slickhead","ALETEN","Alepocephalus tenebrosus","Actinopterygii","Osmeriformes","Alepocephalidae","Alepocephalus","yes"
"Pacific argentine","ARGSIA","Argentina sialis","Actinopterygii","Osmeriformes","Argentinidae","Argentina","yes"
"Whitebait smelt","ALLELO","Allosmerus elongatus","Actinopterygii","Osmeriformes","Osmeridae","Allosmerus","yes"
"Surf smelt","HYPPRE","Hypomesus pretiosus","Actinopterygii","Osmeriformes","Osmeridae","Hypomesus","yes"
"Delta smelt","HYPTRA","Hypomesus transpacificus","Actinopterygii","Osmeriformes","Osmeridae","Hypomesus","yes"
"Night smelt","SPISTA","Spirinchus starksi","Actinopterygii","Osmeriformes","Osmeridae","Spirinchus","yes"
"Longfin smelt","SPITHA","Spirinchus thaleichthys","Actinopterygii","Osmeriformes","Osmeridae","Spirinchus","yes"
"Eulachon","THAPAC","Thaleichthys pacificus","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys","yes"
"Wolf eel","ANAOCE","Anarrhichthys ocellatus","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","yes"
"Bluebanded ronquil","RATHYP","Rathbunella hypoplecta","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","yes"
"Northern ronquil","RONJOR","Ronquilus jordani","Actinopterygii","Perciformes","Bathymasteridae","Ronquilus","yes"
"Bay blenny","HYPGEN","Hypsoblennius gentilis","Actinopterygii","Perciformes","Blenniidae","Hypsoblennius","yes"
"Tidepool blenny","HYPGIL","Hypsoblennius gilberti","Actinopterygii","Perciformes","Blenniidae","Hypsoblennius","yes"
"Mussel blenny","HYPJEN","Hypsoblennius jenkinsi","Actinopterygii","Perciformes","Blenniidae","Hypsoblennius","yes"
"Pacific pomfret","BRAJAP","Brama japonica","Actinopterygii","Perciformes","Bramidae","Brama","yes"
"Yellowtail","SERLAL","Seriola lalandi","Actinopterygii","Perciformes","Carangidae","Seriola","yes"
"Jack mackerel","TRASYM","Trachurus symmetricus","Actinopterygii","Perciformes","Carangidae","Trachurus","yes"
"Orangethroat pikeblenny","CHAALE","Chaenopsis alepidota","Actinopterygii","Perciformes","Chaenopsidae","Chaenopsis","yes"
"Yellowfin fringehead","NEOSTE","Neoclinus stephensae","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","yes"
"Onespot fringehead","NEOUNI","Neoclinus uninotatus","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","yes"
"Spotted kelpfish","GIBELE","Gibbonsia elegans","Actinopterygii","Perciformes","Clinidae","Gibbonsia","yes"
"Striped kelpfish","GIBMET","Gibbonsia metzi","Actinopterygii","Perciformes","Clinidae","Gibbonsia","yes"
"Crevice kelpfish","GIBMON","Gibbonsia montereyensis","Actinopterygii","Perciformes","Clinidae","Gibbonsia","yes"
"Giant kelpfish","HETROS","Heterostichus rostratus","Actinopterygii","Perciformes","Clinidae","Heterostichus","yes"
"Dolphinfish","CORHIP","Coryphaena hippurus","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena","yes"
"Barred surfperch","AMPARG","Amphistichus argenteus","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","yes"
"Calico surfperch","AMPKOE","Amphistichus koelzi","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","yes"
"Kelp surfperch","BRAFRE","Brachyistius frenatus","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","yes"
"Shiner surfperch","CYMAGG","Cymatogaster aggregata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","yes"
"Black surfperch","EMBJAC","Embiotoca jacksoni","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","yes"
"Striped surfperch","EMBLAT","Embiotoca lateralis","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","yes"
"Spotfin surfperch","HYPANA","Hyperprosopon anale","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","yes"
"Walleye surfperch","HYPARG","Hyperprosopon argenteum","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","yes"
"Silver surfperch","HYPELL","Hyperprosopon ellipticum","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","yes"
"Rainbow surfperch","HYPCAR","Hypsurus caryi","Actinopterygii","Perciformes","Embiotocidae","Hypsurus","yes"
"Reef surfperch","MICAUR","Micrometrus aurora","Actinopterygii","Perciformes","Embiotocidae","Micrometrus","yes"
"Dwarf surfperch","MICMIN","Micrometrus minimus","Actinopterygii","Perciformes","Embiotocidae","Micrometrus","yes"
"White surfperch","PHAFUR","Phanerodon furcatus","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","yes"
"Rubberlip surfperch","RHATOX","Rhacochilus toxotes","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","yes"
"Pile surfperch","RHAVAC","Rhacochilus vacca","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","yes"
"Rosy surfperch","ZALROS","Zalembius rosaceus","Actinopterygii","Perciformes","Embiotocidae","Zalembius","yes"
"Yellowfin goby","ACAFLA","Acanthogobius flavimanus","Actinopterygii","Perciformes","Gobiidae","Acanthogobius","yes"
"Arrow goby","CLEIOS","Clevelandia ios","Actinopterygii","Perciformes","Gobiidae","Clevelandia","yes"
"Tidewater goby","EUCNEW","Eucyclogobius newberryi","Actinopterygii","Perciformes","Gobiidae","Eucyclogobius","yes"
"Longjaw mudsucker","GILMIR","Gillichthys mirabilis","Actinopterygii","Perciformes","Gobiidae","Gillichthys","yes"
"Cheekspot goby","ILYGIL","Ilypnus gilberti","Actinopterygii","Perciformes","Gobiidae","Ilypnus","yes"
"Bay goby","LEPLEP","Lepidogobius lepidus","Actinopterygii","Perciformes","Gobiidae","Lepidogobius","yes"
"Halfblind goby","LETCONN","Lethops connectens","Actinopterygii","Perciformes","Gobiidae","Lethops","yes"
"Bluebanded goby","LYTDAL","Lythrypnus dalli","Actinopterygii","Perciformes","Gobiidae","Lythrypnus","yes"
"Zebra goby","LYTZEB","Lythrypnus zebra","Actinopterygii","Perciformes","Gobiidae","Lythrypnus","yes"
"Shadow goby","QUIYCA","Quietula y-cauda","Actinopterygii","Perciformes","Gobiidae","Quietula","yes"
"Blackeye goby","RHINIC","Rhinogobiops nicholsii","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","yes"
"Shokihaze goby","TRIBAR","Tridentiger barbatus","Actinopterygii","Perciformes","Gobiidae","Tridentiger","yes"
"Shimofuri goby","TRIBIF","Tridentiger bifasciatus","Actinopterygii","Perciformes","Gobiidae","Tridentiger","yes"
"Chameleon goby","TRITRI","Tridentiger trigonocephalus","Actinopterygii","Perciformes","Gobiidae","Tridentiger","yes"
